candidate_id,strategy,candidate_rank,warning,params_hash_short,feature_key_short,strategy_context_key_short,feature_cache_hit,context_cache_hit,feature_sec,context_sec,signal_sec,total_sec,n_signals,n_long_signals,n_short_signals,signal_cache_enabled,signal_cache_hit,signal_cache_key_short,signal_cache_load_sec,signal_cache_write_sec,data_fingerprint_short,code_fingerprint_short,error
AFTERNOON_CONTINUATION_001,afternoon_continuation,1,relaxed_filter,83ef150d884c,1fbe839265ff,f1d6b2cd5429,False,False,23.8979,0.7717,0.0288,27.9242,789,789,0,True,False,c0601dfeb2a6,0.0001,0.0189,fe10114775b4,60e5f371dc79,
FAILED_ORB_001,failed_orb,1,,95b93588774b,7e57a16943ed,59dfb8f2d297,False,False,0.0,0.0,0.0,0.0309,836,836,0,True,True,d351140cf7e7,0.0133,0.0,fe10114775b4,60e5f371dc79,
FAILED_ORB_002,failed_orb,2,,da7b3a33033c,7e57a16943ed,59dfb8f2d297,False,False,0.0,0.0,0.0,0.0321,788,788,0,True,True,ba6ed77d37a3,0.0141,0.0,fe10114775b4,60e5f371dc79,
FAILED_ORB_003,failed_orb,3,,b04b4a52d9e0,7e57a16943ed,59dfb8f2d297,False,False,28.486,0.5057,0.0435,29.0986,836,836,0,True,False,93c280b11d8b,0.0002,0.0365,fe10114775b4,60e5f371dc79,
FAILED_ORB_004,failed_orb,4,,f31ed61dd644,7e57a16943ed,59dfb8f2d297,True,True,0.0,0.0,0.0172,0.0608,836,836,0,True,False,2af1eec73dd4,0.0002,0.0181,fe10114775b4,60e5f371dc79,
FAILED_ORB_005,failed_orb,5,,aaa2791fc47f,7e57a16943ed,59dfb8f2d297,True,True,0.0,0.0,0.017,0.0604,836,836,0,True,False,0a8177cdb4f0,0.0002,0.0194,fe10114775b4,60e5f371dc79,
GAP_ACCEPTANCE_FAILURE_001,gap_acceptance_failure,1,,b10396b60317,1fbe839265ff,01c6221904a1,True,False,0.0,0.3998,0.0284,0.4752,403,403,0,True,False,bedf7eb7bf76,0.0003,0.019,fe10114775b4,60e5f371dc79,
GAP_ACCEPTANCE_FAILURE_002,gap_acceptance_failure,2,,097116cd48d3,1fbe839265ff,01c6221904a1,True,True,0.0,0.0,0.0114,0.0525,403,403,0,True,False,ae1e35ef35a8,0.0002,0.0173,fe10114775b4,60e5f371dc79,
GAP_ACCEPTANCE_FAILURE_003,gap_acceptance_failure,3,,66e83026430e,1fbe839265ff,01c6221904a1,True,True,0.0,0.0,0.0109,0.0538,403,403,0,True,False,6d4c9437a70a,0.0001,0.0193,fe10114775b4,60e5f371dc79,
GAP_ACCEPTANCE_FAILURE_004,gap_acceptance_failure,4,,3b92408731e7,1fbe839265ff,01c6221904a1,True,True,0.0,0.0,0.0099,0.0513,403,403,0,True,False,9713ad0acb04,0.0003,0.0178,fe10114775b4,60e5f371dc79,
