candidate_a,candidate_b,strategy_a,strategy_b,family_a,family_b,same_bar_overlap,same_day_overlap,opposite_side_same_bar,same_direction_same_bar,approx_abs_median_signal_minute_diff
AFTERNOON_CONTINUATION_001,AFTERNOON_CONTINUATION_002,afternoon_continuation,afternoon_continuation,afternoon_trend,afternoon_trend,123,127,0,123,0.0
AFTERNOON_CONTINUATION_001,AFTERNOON_CONTINUATION_003,afternoon_continuation,afternoon_continuation,afternoon_trend,afternoon_trend,123,127,0,123,0.0
AFTERNOON_CONTINUATION_001,AFTERNOON_CONTINUATION_004,afternoon_continuation,afternoon_continuation,afternoon_trend,afternoon_trend,123,127,0,123,0.0
AFTERNOON_CONTINUATION_001,AFTERNOON_CONTINUATION_005,afternoon_continuation,afternoon_continuation,afternoon_trend,afternoon_trend,123,127,0,123,0.0
AFTERNOON_CONTINUATION_001,FAILED_ORB_001,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,96,0,0,280.0
AFTERNOON_CONTINUATION_001,FAILED_ORB_002,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,96,0,0,280.5
AFTERNOON_CONTINUATION_001,FAILED_ORB_003,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,96,0,0,281.0
AFTERNOON_CONTINUATION_001,FAILED_ORB_004,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,101,0,0,280.0
AFTERNOON_CONTINUATION_001,FAILED_ORB_005,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,95,0,0,280.0
AFTERNOON_CONTINUATION_001,GAP_ACCEPTANCE_FAILURE_001,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,30,0,0,281.0
AFTERNOON_CONTINUATION_001,GAP_ACCEPTANCE_FAILURE_002,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,30,0,0,281.0
AFTERNOON_CONTINUATION_001,GAP_ACCEPTANCE_FAILURE_003,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,30,0,0,281.0
AFTERNOON_CONTINUATION_001,GAP_ACCEPTANCE_FAILURE_004,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,30,0,0,281.0
AFTERNOON_CONTINUATION_001,GAP_ACCEPTANCE_FAILURE_005,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,30,0,0,281.0
AFTERNOON_CONTINUATION_001,ORB_CONTINUATION_001,afternoon_continuation,orb_continuation,afternoon_trend,opening_momentum,0,111,0,0,281.5
AFTERNOON_CONTINUATION_001,ORB_CONTINUATION_002,afternoon_continuation,orb_continuation,afternoon_trend,opening_momentum,0,107,0,0,282.0
AFTERNOON_CONTINUATION_001,ORB_CONTINUATION_003,afternoon_continuation,orb_continuation,afternoon_trend,opening_momentum,0,100,0,0,272.0
AFTERNOON_CONTINUATION_001,ORB_CONTINUATION_004,afternoon_continuation,orb_continuation,afternoon_trend,opening_momentum,0,104,0,0,282.0
AFTERNOON_CONTINUATION_001,ORB_CONTINUATION_005,afternoon_continuation,orb_continuation,afternoon_trend,opening_momentum,0,100,0,0,272.0
AFTERNOON_CONTINUATION_001,ORB_RETEST_CONTINUATION_001,afternoon_continuation,orb_retest_continuation,afternoon_trend,opening_momentum,0,91,0,0,275.0
AFTERNOON_CONTINUATION_001,ORB_RETEST_CONTINUATION_002,afternoon_continuation,orb_retest_continuation,afternoon_trend,opening_momentum,0,94,0,0,274.0
AFTERNOON_CONTINUATION_001,ORB_RETEST_CONTINUATION_003,afternoon_continuation,orb_retest_continuation,afternoon_trend,opening_momentum,0,91,0,0,275.0
AFTERNOON_CONTINUATION_001,ORB_RETEST_CONTINUATION_004,afternoon_continuation,orb_retest_continuation,afternoon_trend,opening_momentum,0,91,0,0,275.0
AFTERNOON_CONTINUATION_001,ORB_RETEST_CONTINUATION_005,afternoon_continuation,orb_retest_continuation,afternoon_trend,opening_momentum,0,91,0,0,275.0
AFTERNOON_CONTINUATION_001,PRIOR_DAY_LEVEL_TRAP_001,afternoon_continuation,prior_day_level_trap,afternoon_trend,key_level_trap,0,28,0,0,228.0
AFTERNOON_CONTINUATION_001,PRIOR_DAY_LEVEL_TRAP_002,afternoon_continuation,prior_day_level_trap,afternoon_trend,key_level_trap,0,28,0,0,228.0
AFTERNOON_CONTINUATION_001,PRIOR_DAY_LEVEL_TRAP_003,afternoon_continuation,prior_day_level_trap,afternoon_trend,key_level_trap,0,28,0,0,228.0
AFTERNOON_CONTINUATION_001,PRIOR_DAY_LEVEL_TRAP_004,afternoon_continuation,prior_day_level_trap,afternoon_trend,key_level_trap,0,28,0,0,230.0
AFTERNOON_CONTINUATION_001,PRIOR_DAY_LEVEL_TRAP_005,afternoon_continuation,prior_day_level_trap,afternoon_trend,key_level_trap,0,28,0,0,228.0
AFTERNOON_CONTINUATION_001,VWAP_RECLAIM_REJECT_001,afternoon_continuation,vwap_reclaim_reject,afternoon_trend,vwap_reclaim,0,75,0,0,210.0
AFTERNOON_CONTINUATION_001,VWAP_RECLAIM_REJECT_002,afternoon_continuation,vwap_reclaim_reject,afternoon_trend,vwap_reclaim,0,65,0,0,218.5
AFTERNOON_CONTINUATION_001,VWAP_RECLAIM_REJECT_003,afternoon_continuation,vwap_reclaim_reject,afternoon_trend,vwap_reclaim,0,75,0,0,210.0
AFTERNOON_CONTINUATION_001,VWAP_RECLAIM_REJECT_004,afternoon_continuation,vwap_reclaim_reject,afternoon_trend,vwap_reclaim,0,100,0,0,239.0
AFTERNOON_CONTINUATION_001,VWAP_RECLAIM_REJECT_005,afternoon_continuation,vwap_reclaim_reject,afternoon_trend,vwap_reclaim,0,81,0,0,232.0
AFTERNOON_CONTINUATION_001,VWAP_TREND_PULLBACK_001,afternoon_continuation,vwap_trend_pullback,afternoon_trend,vwap_trend,0,55,0,0,199.5
AFTERNOON_CONTINUATION_001,VWAP_TREND_PULLBACK_002,afternoon_continuation,vwap_trend_pullback,afternoon_trend,vwap_trend,0,59,0,0,194.5
AFTERNOON_CONTINUATION_001,VWAP_TREND_PULLBACK_003,afternoon_continuation,vwap_trend_pullback,afternoon_trend,vwap_trend,0,59,0,0,194.5
AFTERNOON_CONTINUATION_001,VWAP_TREND_PULLBACK_004,afternoon_continuation,vwap_trend_pullback,afternoon_trend,vwap_trend,0,59,0,0,194.5
AFTERNOON_CONTINUATION_001,VWAP_TREND_PULLBACK_005,afternoon_continuation,vwap_trend_pullback,afternoon_trend,vwap_trend,0,59,0,0,194.5
AFTERNOON_CONTINUATION_002,AFTERNOON_CONTINUATION_003,afternoon_continuation,afternoon_continuation,afternoon_trend,afternoon_trend,128,128,0,128,0.0
AFTERNOON_CONTINUATION_002,AFTERNOON_CONTINUATION_004,afternoon_continuation,afternoon_continuation,afternoon_trend,afternoon_trend,128,128,0,128,0.0
AFTERNOON_CONTINUATION_002,AFTERNOON_CONTINUATION_005,afternoon_continuation,afternoon_continuation,afternoon_trend,afternoon_trend,128,128,0,128,0.0
AFTERNOON_CONTINUATION_002,FAILED_ORB_001,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,96,0,0,280.0
AFTERNOON_CONTINUATION_002,FAILED_ORB_002,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,96,0,0,280.5
AFTERNOON_CONTINUATION_002,FAILED_ORB_003,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,96,0,0,281.0
AFTERNOON_CONTINUATION_002,FAILED_ORB_004,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,101,0,0,280.0
AFTERNOON_CONTINUATION_002,FAILED_ORB_005,afternoon_continuation,failed_orb,afternoon_trend,opening_reversal,0,95,0,0,280.0
AFTERNOON_CONTINUATION_002,GAP_ACCEPTANCE_FAILURE_001,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,31,0,0,281.0
AFTERNOON_CONTINUATION_002,GAP_ACCEPTANCE_FAILURE_002,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,31,0,0,281.0
AFTERNOON_CONTINUATION_002,GAP_ACCEPTANCE_FAILURE_003,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,31,0,0,281.0
AFTERNOON_CONTINUATION_002,GAP_ACCEPTANCE_FAILURE_004,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,31,0,0,281.0
AFTERNOON_CONTINUATION_002,GAP_ACCEPTANCE_FAILURE_005,afternoon_continuation,gap_acceptance_failure,afternoon_trend,gap_behavior,0,31,0,0,281.0
AFTERNOON_CONTINUATION_002,ORB_CONTINUATION_001,afternoon_continuation,orb_continuation,afternoon_trend,opening_momentum,0,111,0,0,281.5
AFTERNOON_CONTINUATION_002,ORB_CONTINUATION_002,afternoon_continuation,orb_continuation,afternoon_trend,opening_momentum,0,107,0,0,282.0
