candidate_id,strategy,candidate_rank,warning,params_hash_short,feature_key_short,strategy_context_key_short,feature_cache_hit,context_cache_hit,feature_sec,context_sec,signal_sec,total_sec,n_signals,n_long_signals,n_short_signals,signal_cache_enabled,signal_cache_hit,signal_cache_key_short,signal_cache_load_sec,signal_cache_write_sec,data_fingerprint_short,code_fingerprint_short,error
AFTERNOON_CONTINUATION_001,afternoon_continuation,1,,288f84cf1b9f,7def366514de,f1d6b2cd5429,False,False,1.2589,0.027,0.0111,1.3865,37,37,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
AFTERNOON_CONTINUATION_002,afternoon_continuation,2,,c6cf7cd05abe,7def366514de,f1d6b2cd5429,True,True,0.0,0.0,0.0002,0.0025,37,37,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
AFTERNOON_CONTINUATION_003,afternoon_continuation,3,,0653ee64ad97,7def366514de,f1d6b2cd5429,True,True,0.0,0.0,0.0001,0.0023,37,37,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
AFTERNOON_CONTINUATION_004,afternoon_continuation,4,,48cee53c3275,7def366514de,f1d6b2cd5429,True,True,0.0,0.0,0.0002,0.0024,37,37,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
CCI_EXTREME_SNAPBACK_001,cci_extreme_snapback,1,,65c2dee838e3,c265ec85074f,53bb77c04c5b,False,False,1.1003,0.0329,0.0105,1.1465,10,10,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
CCI_EXTREME_SNAPBACK_002,cci_extreme_snapback,2,,0729ccd182f6,c265ec85074f,53bb77c04c5b,True,True,0.0,0.0,0.0003,0.0033,10,10,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
CCI_EXTREME_SNAPBACK_003,cci_extreme_snapback,3,,483afe8840a5,c265ec85074f,2f4e3d139e43,True,False,0.0,0.0195,0.0003,0.0227,30,30,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
CCI_EXTREME_SNAPBACK_004,cci_extreme_snapback,4,,8db56ad743cc,c265ec85074f,6290cdf697b8,True,False,0.0,0.0193,0.0003,0.0225,5,5,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
FAILED_ORB_001,failed_orb,1,,b5c4afce9d0e,d1fbb1d6e699,59dfb8f2d297,False,False,0.9937,0.0412,0.0117,1.0497,34,34,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
FAILED_ORB_002,failed_orb,2,,9fc861d0725f,d1fbb1d6e699,59dfb8f2d297,True,True,0.0,0.0,0.0003,0.0027,34,34,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
FAILED_ORB_003,failed_orb,3,,4c9c20772467,d1fbb1d6e699,59dfb8f2d297,True,True,0.0,0.0,0.0002,0.0023,34,34,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
FAILED_ORB_005,failed_orb,5,,2a0bb1379c50,d1fbb1d6e699,59dfb8f2d297,True,True,0.0,0.0,0.0002,0.0021,32,32,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
GAP_ACCEPTANCE_FAILURE_001,gap_acceptance_failure,1,,66e83026430e,7def366514de,01c6221904a1,True,False,0.0,0.0191,0.0106,0.0317,20,20,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
GAP_ACCEPTANCE_FAILURE_002,gap_acceptance_failure,2,,b10396b60317,7def366514de,01c6221904a1,True,True,0.0,0.0,0.0001,0.0024,20,20,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
GAP_ACCEPTANCE_FAILURE_003,gap_acceptance_failure,3,,3b92408731e7,7def366514de,01c6221904a1,True,True,0.0,0.0,0.0001,0.0021,20,20,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
GAP_ACCEPTANCE_FAILURE_004,gap_acceptance_failure,4,,097116cd48d3,7def366514de,01c6221904a1,True,True,0.0,0.0,0.0001,0.002,20,20,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
MACD_MOMENTUM_TURN_001,macd_momentum_turn,1,,283cf125f65f,99c233d4ed9f,a227f082dd92,False,False,1.1071,0.0197,0.0107,1.1405,60,60,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
MACD_MOMENTUM_TURN_002,macd_momentum_turn,2,,792b1eec8e3d,99c233d4ed9f,c31ea9cec91f,True,False,0.0,0.0199,0.0002,0.0234,62,62,0,False,False,,0.0,0.0,376da60b6590,1ab2da16079a,
