unique_rank,source_combo_id,candidate_set,top_per_strategy,max_trades_per_day,daily_max_loss_r,cooldown_after_loss_minutes,priority_policy,slippage_per_share,commission_per_trade,n_candidates,candidate_ids_json,trades,total_net_pnl,total_r,profit_factor,max_drawdown_r,avg_bars_held,avg_cost_r,median_cost_r,combiner_score,robust_positive_at_0_02,robust_positive_at_0_03,cost_robustness_label
1,1,vwap_core,1,1,-1.5,15,metadata_priority,0.005,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,13.163750000000675,42.58012146525872,1.2637497495492067,-14.305681171373337,7.275510204081633,0.041661979396775815,0.03508771929824953,1.326005626182806,True,False,robust_positive_at_0_02
1,1,vwap_core,1,1,-1.5,15,metadata_priority,0.01,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,11.885000000001298,36.70651309752729,1.2313607163714582,-15.518718896225943,7.309523809523809,0.08098206219235751,0.06896551724138797,1.1690873221380653,True,False,robust_positive_at_0_02
1,1,vwap_core,1,1,-1.5,15,metadata_priority,0.02,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,6.495000000004154,11.853403778471325,1.1167535502427601,-20.74690318994515,7.530612244897959,0.1535798265043582,0.13333333333335354,0.5246168989765775,True,False,robust_positive_at_0_02
1,1,vwap_core,1,1,-1.5,15,metadata_priority,0.03,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",295,-0.5199999999927059,-20.740575970581073,0.991451586388414,-41.26865520166392,7.945762711864407,0.2237040888487393,0.19354838709680824,-0.705662471932084,True,False,robust_positive_at_0_02
2,3,vwap_core,1,1,-1.5,15,score_adjusted_priority,0.005,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,13.163750000000675,42.58012146525872,1.2637497495492067,-14.305681171373337,7.275510204081633,0.041661979396775815,0.03508771929824953,1.326005626182806,True,False,robust_positive_at_0_02
2,3,vwap_core,1,1,-1.5,15,score_adjusted_priority,0.01,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,11.885000000001298,36.70651309752729,1.2313607163714582,-15.518718896225943,7.309523809523809,0.08098206219235751,0.06896551724138797,1.1690873221380653,True,False,robust_positive_at_0_02
2,3,vwap_core,1,1,-1.5,15,score_adjusted_priority,0.02,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,6.495000000004154,11.853403778471325,1.1167535502427601,-20.74690318994515,7.530612244897959,0.1535798265043582,0.13333333333335354,0.5246168989765775,True,False,robust_positive_at_0_02
2,3,vwap_core,1,1,-1.5,15,score_adjusted_priority,0.03,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",295,-0.5199999999927059,-20.740575970581073,0.991451586388414,-41.26865520166392,7.945762711864407,0.2237040888487393,0.19354838709680824,-0.705662471932084,True,False,robust_positive_at_0_02
3,5,vwap_core,1,1,-1.5,30,metadata_priority,0.005,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,13.163750000000675,42.58012146525872,1.2637497495492067,-14.305681171373337,7.275510204081633,0.041661979396775815,0.03508771929824953,1.326005626182806,True,False,robust_positive_at_0_02
3,5,vwap_core,1,1,-1.5,30,metadata_priority,0.01,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,11.885000000001298,36.70651309752729,1.2313607163714582,-15.518718896225943,7.309523809523809,0.08098206219235751,0.06896551724138797,1.1690873221380653,True,False,robust_positive_at_0_02
3,5,vwap_core,1,1,-1.5,30,metadata_priority,0.02,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,6.495000000004154,11.853403778471325,1.1167535502427601,-20.74690318994515,7.530612244897959,0.1535798265043582,0.13333333333335354,0.5246168989765775,True,False,robust_positive_at_0_02
3,5,vwap_core,1,1,-1.5,30,metadata_priority,0.03,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",295,-0.5199999999927059,-20.740575970581073,0.991451586388414,-41.26865520166392,7.945762711864407,0.2237040888487393,0.19354838709680824,-0.705662471932084,True,False,robust_positive_at_0_02
4,7,vwap_core,1,1,-1.5,30,score_adjusted_priority,0.005,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,13.163750000000675,42.58012146525872,1.2637497495492067,-14.305681171373337,7.275510204081633,0.041661979396775815,0.03508771929824953,1.326005626182806,True,False,robust_positive_at_0_02
4,7,vwap_core,1,1,-1.5,30,score_adjusted_priority,0.01,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,11.885000000001298,36.70651309752729,1.2313607163714582,-15.518718896225943,7.309523809523809,0.08098206219235751,0.06896551724138797,1.1690873221380653,True,False,robust_positive_at_0_02
4,7,vwap_core,1,1,-1.5,30,score_adjusted_priority,0.02,0.0,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,6.495000000004154,11.853403778471325,1.1167535502427601,-20.74690318994515,7.530612244897959,0.1535798265043582,0.13333333333335354,0.5246168989765775,True,False,robust_positive_at_0_02
