unique_rank,source_rank,combo_id,candidate_set,top_per_strategy,max_trades_per_day,daily_max_loss_r,cooldown_after_loss_minutes,priority_policy,n_candidates,candidate_ids_json,trades,total_r,profit_factor,max_drawdown_r,avg_bars_held,combiner_score,trades_by_strategy_json,r_by_strategy_json,rejected_by_reason_json
1,1,1,vwap_core,1,1,-1.5,15,metadata_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
2,3,3,vwap_core,1,1,-1.5,15,score_adjusted_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
3,5,5,vwap_core,1,1,-1.5,30,metadata_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
4,7,7,vwap_core,1,1,-1.5,30,score_adjusted_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
5,9,9,vwap_core,1,1,-1.5,60,metadata_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
6,11,11,vwap_core,1,1,-1.5,60,score_adjusted_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
7,13,13,vwap_core,1,1,-2.0,15,metadata_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
8,15,15,vwap_core,1,1,-2.0,15,score_adjusted_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
9,17,17,vwap_core,1,1,-2.0,30,metadata_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
10,19,19,vwap_core,1,1,-2.0,30,score_adjusted_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
11,21,21,vwap_core,1,1,-2.0,60,metadata_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
12,23,23,vwap_core,1,1,-2.0,60,score_adjusted_priority,2,"[""VWAP_RECLAIM_REJECT_001"", ""VWAP_TREND_PULLBACK_001""]",294,36.70651309752729,1.2313607163714582,-15.518718896225945,7.309523809523809,1.169087322138065,"{""vwap_reclaim_reject"": 177, ""vwap_trend_pullback"": 117}","{""vwap_reclaim_reject"": 28.29756371154058, ""vwap_trend_pullback"": 8.408949385986713}","{""existing_position"": 3, ""lower_priority_conflict"": 2, ""risk_too_small"": 1}"
