strategy,feature_key_short,strategy_context_key_short,candidate_count,n_feature_cache_hits,n_feature_cache_misses,n_context_cache_hits,n_context_cache_misses,sum_total_sec,mean_total_sec,max_total_sec,sum_feature_sec,sum_context_sec,sum_signal_sec,n_signal_cache_hits,n_signal_cache_misses,sum_signal_cache_load_sec,sum_signal_cache_write_sec,total_signals,total_long_signals,total_short_signals
afternoon_continuation,7def366514de,f1d6b2cd5429,4,3,1,3,1,9.036200000000001,2.2590500000000002,9.0121,8.1791,0.1571,0.020399999999999998,0,4,0.0,0.0,948,948,0
cci_extreme_snapback,c265ec85074f,2f4e3d139e43,1,1,0,0,1,0.1675,0.1675,0.1675,0.0,0.1582,0.0031,0,1,0.0,0.0,289,289,0
cci_extreme_snapback,c265ec85074f,53bb77c04c5b,2,1,1,1,1,8.6953,4.34765,8.6859,8.4933,0.1721,0.0173,0,2,0.0,0.0,244,244,0
cci_extreme_snapback,c265ec85074f,6290cdf697b8,1,1,0,0,1,0.1717,0.1717,0.1717,0.0,0.1622,0.0033,0,1,0.0,0.0,76,76,0
failed_orb,d1fbb1d6e699,59dfb8f2d297,4,3,1,3,1,8.1464,2.0366,8.1165,7.9117,0.1838,0.0268,0,4,0.0,0.0,867,867,0
gap_acceptance_failure,7def366514de,01c6221904a1,4,4,0,3,1,0.2086,0.05215,0.1825,0.0,0.1634,0.019,0,4,0.0,0.0,516,516,0
macd_momentum_turn,99c233d4ed9f,85fd0c1d33c6,1,1,0,0,1,0.1825,0.1825,0.1825,0.0,0.1734,0.0022,0,1,0.0,0.0,501,501,0
macd_momentum_turn,99c233d4ed9f,a227f082dd92,1,0,1,0,1,9.1094,9.1094,9.1094,8.9189,0.1705,0.0129,0,1,0.0,0.0,497,497,0
macd_momentum_turn,99c233d4ed9f,c31ea9cec91f,1,1,0,0,1,0.1817,0.1817,0.1817,0.0,0.1723,0.0022,0,1,0.0,0.0,501,501,0
multi_day_level_trap,7622e4ca1e38,0b2a267d25e5,4,3,1,3,1,8.15,2.0375,8.1244,7.9294,0.176,0.018500000000000003,0,4,0.0,0.0,192,192,0
orb_continuation,b5ab530c4d3a,4f53cda18c2b,3,2,1,2,1,8.140400000000001,2.713466666666667,8.1178,7.9384,0.1621,0.019299999999999998,0,3,0.0,0.0,1039,1039,0
pa_buy_sell_close_trend,1b8746fac1c3,599147dee32a,4,3,1,3,1,9.018,2.2545,8.5862,8.2735,0.1703,0.5468,0,4,0.0,0.0,1790,1790,0
pa_climax_reversal,1b8746fac1c3,124f9529c39d,4,4,0,3,1,0.3385,0.084625,0.2054,0.0,0.1604,0.1484,0,4,0.0,0.0,200,200,0
pa_failed_range_breakout_trap,1b8746fac1c3,5c2bfb2f00b9,4,4,0,3,1,0.9118999999999999,0.22797499999999998,0.3147,0.0,0.1541,0.7303999999999999,0,4,0.0,0.0,1388,1388,0
pa_trading_range_bls_hs,1b8746fac1c3,bc68f95fbd6a,4,4,0,3,1,0.3545,0.088625,0.2062,0.0,0.1589,0.1653,0,4,0.0,0.0,290,290,0
prior_close_reclaim,7622e4ca1e38,94a59f2614f2,4,4,0,3,1,0.23229999999999998,0.058074999999999995,0.208,0.0,0.1888,0.019000000000000003,0,4,0.0,0.0,609,609,0
rsi_failure_swing,3cb11ee223a9,f145f0c46eab,1,1,0,0,1,0.225,0.225,0.225,0.0,0.2157,0.003,0,1,0.0,0.0,152,152,0
rsi_failure_swing,3cb11ee223a9,f7c194c610f8,3,2,1,2,1,8.9444,2.9814666666666665,8.9235,8.6835,0.2181,0.0225,0,3,0.0,0.0,618,618,0
stochastic_oversold_cross,88486246f81a,291dd8082c36,1,1,0,0,1,0.1693,0.1693,0.1693,0.0,0.1593,0.0036,0,1,0.0,0.0,502,502,0
stochastic_oversold_cross,88486246f81a,928fa66eee73,2,1,1,1,1,8.619800000000001,4.309900000000001,8.6102,8.4221,0.1672,0.0175,0,2,0.0,0.0,1004,1004,0
stochastic_oversold_cross,88486246f81a,ee0373f6e123,1,1,0,0,1,0.1746,0.1746,0.1746,0.0,0.1651,0.0032,0,1,0.0,0.0,502,502,0
supertrend_atr_flip,fd9ef28794b0,40f6342dfebc,1,1,0,0,1,0.1791,0.1791,0.1791,0.0,0.1704,0.0021,0,1,0.0,0.0,496,496,0
supertrend_atr_flip,fd9ef28794b0,cc6f21b0a188,1,1,0,0,1,0.1695,0.1695,0.1695,0.0,0.1608,0.0023,0,1,0.0,0.0,502,502,0
supertrend_atr_flip,fd9ef28794b0,ef9331a63436,2,1,1,1,1,10.7772,5.3886,10.7689,10.5785,0.1714,0.014400000000000001,0,2,0.0,0.0,994,994,0
vwap_reclaim_reject,7def366514de,a53008f08fc6,4,4,0,3,1,0.2027,0.050675,0.1785,0.0,0.1592,0.0186,0,4,0.0,0.0,804,804,0
vwap_trend_pullback,7def366514de,36cf9f667a75,4,4,0,3,1,0.1947,0.048675,0.1716,0.0,0.1531,0.0186,0,4,0.0,0.0,614,614,0
