unique_rank,source_rank,combo_id,candidate_set,top_per_strategy,max_trades_per_day,daily_max_loss_r,cooldown_after_loss_minutes,priority_policy,n_candidates,candidate_ids_json,trades,total_r,profit_factor,max_drawdown_r,avg_bars_held,combiner_score,trades_by_strategy_json,r_by_strategy_json,rejected_by_reason_json
1,1,49,pa_climax,1,1,-1.5,0,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
2,2,50,pa_climax,1,1,-1.5,0,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
3,3,51,pa_climax,1,1,-1.5,15,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
4,4,52,pa_climax,1,1,-1.5,15,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
5,5,53,pa_climax,1,1,-2.0,0,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
6,6,54,pa_climax,1,1,-2.0,0,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
7,7,55,pa_climax,1,1,-2.0,15,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
8,8,56,pa_climax,1,1,-2.0,15,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
9,9,57,pa_climax,1,2,-1.5,0,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
10,10,58,pa_climax,1,2,-1.5,0,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
11,11,59,pa_climax,1,2,-1.5,15,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
12,12,60,pa_climax,1,2,-1.5,15,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
13,13,61,pa_climax,1,2,-2.0,0,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
14,14,62,pa_climax,1,2,-2.0,0,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
15,15,63,pa_climax,1,2,-2.0,15,metadata_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
16,16,64,pa_climax,1,2,-2.0,15,score_adjusted_priority,1,"[""PA_CLIMAX_REVERSAL_001""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}",{}
17,17,65,pa_climax,2,1,-1.5,0,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
18,18,66,pa_climax,2,1,-1.5,0,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
19,19,67,pa_climax,2,1,-1.5,15,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
20,20,68,pa_climax,2,1,-1.5,15,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
21,21,69,pa_climax,2,1,-2.0,0,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
22,22,70,pa_climax,2,1,-2.0,0,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
23,23,71,pa_climax,2,1,-2.0,15,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
24,24,72,pa_climax,2,1,-2.0,15,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
25,25,73,pa_climax,2,2,-1.5,0,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
26,26,74,pa_climax,2,2,-1.5,0,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
27,27,75,pa_climax,2,2,-1.5,15,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
28,28,76,pa_climax,2,2,-1.5,15,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
29,29,77,pa_climax,2,2,-2.0,0,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
30,30,78,pa_climax,2,2,-2.0,0,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
31,31,79,pa_climax,2,2,-2.0,15,metadata_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
32,32,80,pa_climax,2,2,-2.0,15,score_adjusted_priority,2,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 51}"
33,33,81,pa_climax,3,1,-1.5,0,metadata_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
34,34,82,pa_climax,3,1,-1.5,0,score_adjusted_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
35,35,83,pa_climax,3,1,-1.5,15,metadata_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
36,36,84,pa_climax,3,1,-1.5,15,score_adjusted_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
37,37,85,pa_climax,3,1,-2.0,0,metadata_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
38,38,86,pa_climax,3,1,-2.0,0,score_adjusted_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
39,39,87,pa_climax,3,1,-2.0,15,metadata_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
40,40,88,pa_climax,3,1,-2.0,15,score_adjusted_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
41,41,89,pa_climax,3,2,-1.5,0,metadata_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
42,42,90,pa_climax,3,2,-1.5,0,score_adjusted_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
43,43,91,pa_climax,3,2,-1.5,15,metadata_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
44,44,92,pa_climax,3,2,-1.5,15,score_adjusted_priority,3,"[""PA_CLIMAX_REVERSAL_001"", ""PA_CLIMAX_REVERSAL_002"", ""PA_CLIMAX_REVERSAL_003""]",51,6.226635904737265,1.3733766233767348,-6.290149133855962,9.333333333333334,1.2287383545987811,"{""pa_climax_reversal"": 51}","{""pa_climax_reversal"": 6.226635904737264}","{""lower_priority_conflict"": 102}"
