unique_rank,source_combo_id,candidate_set,top_per_strategy,max_trades_per_day,daily_max_loss_r,cooldown_after_loss_minutes,priority_policy,slippage_per_share,commission_per_trade,n_candidates,candidate_ids_json,trades,total_net_pnl,total_r,profit_factor,max_drawdown_r,avg_bars_held,avg_cost_r,median_cost_r,combiner_score,robust_positive_at_0_02,robust_positive_at_0_03,cost_robustness_label
1,1,volatility_breakout_tuned,1,1,-1.5,0,metadata_priority,0.005,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,11.610333333334154,41.022173981637735,1.1377269186513324,-15.619104127787027,14.827127659574469,0.028888794941404543,0.027322404371583665,0.6696592768827133,True,False,robust_positive_at_0_02
1,1,volatility_breakout_tuned,1,1,-1.5,0,metadata_priority,0.01,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,9.750333333335902,35.417505918706176,1.1129299395025423,-16.81729446768634,15.063829787234043,0.056791767302892836,0.0539083557951469,0.5246098644653104,True,False,robust_positive_at_0_02
1,1,volatility_breakout_tuned,1,1,-1.5,0,metadata_priority,0.02,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,0.7768333333397663,10.960597727123037,1.008411413969406,-20.689035421958792,15.74468085106383,0.10986827155164114,0.10498687664041989,-0.12359536363357604,True,False,robust_positive_at_0_02
1,1,volatility_breakout_tuned,1,1,-1.5,0,metadata_priority,0.03,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,-7.3243333333225,-10.222705672573259,0.9254014598541159,-30.59879459295709,16.26063829787234,0.15963720353194233,0.15345268542199836,-0.8621636013210681,True,False,robust_positive_at_0_02
2,2,volatility_breakout_tuned,1,1,-1.5,0,score_adjusted_priority,0.005,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,11.610333333334154,41.022173981637735,1.1377269186513324,-15.619104127787027,14.827127659574469,0.028888794941404543,0.027322404371583665,0.6696592768827133,True,False,robust_positive_at_0_02
2,2,volatility_breakout_tuned,1,1,-1.5,0,score_adjusted_priority,0.01,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,9.750333333335902,35.417505918706176,1.1129299395025423,-16.81729446768634,15.063829787234043,0.056791767302892836,0.0539083557951469,0.5246098644653104,True,False,robust_positive_at_0_02
2,2,volatility_breakout_tuned,1,1,-1.5,0,score_adjusted_priority,0.02,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,0.7768333333397663,10.960597727123037,1.008411413969406,-20.689035421958792,15.74468085106383,0.10986827155164114,0.10498687664041989,-0.12359536363357604,True,False,robust_positive_at_0_02
2,2,volatility_breakout_tuned,1,1,-1.5,0,score_adjusted_priority,0.03,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,-7.3243333333225,-10.222705672573259,0.9254014598541159,-30.59879459295709,16.26063829787234,0.15963720353194233,0.15345268542199836,-0.8621636013210681,True,False,robust_positive_at_0_02
3,3,volatility_breakout_tuned,1,1,-1.5,15,metadata_priority,0.005,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,11.610333333334154,41.022173981637735,1.1377269186513324,-15.619104127787027,14.827127659574469,0.028888794941404543,0.027322404371583665,0.6696592768827133,True,False,robust_positive_at_0_02
3,3,volatility_breakout_tuned,1,1,-1.5,15,metadata_priority,0.01,0.0,1,"[""BOLLINGER_SQUEEZE_BREAKOUT_001""]",376,9.750333333335902,35.417505918706176,1.1129299395025423,-16.81729446768634,15.063829787234043,0.056791767302892836,0.0539083557951469,0.5246098644653104,True,False,robust_positive_at_0_02
