candidate_id,strategy,candidate_rank,warning,params_hash_short,feature_key_short,strategy_context_key_short,feature_cache_hit,context_cache_hit,feature_sec,context_sec,signal_sec,total_sec,n_signals,n_long_signals,n_short_signals,signal_cache_enabled,signal_cache_hit,signal_cache_key_short,signal_cache_load_sec,signal_cache_write_sec,data_fingerprint_short,code_fingerprint_short,error
BOLLINGER_SQUEEZE_BREAKOUT_001,bollinger_squeeze_breakout,1,,80257b8e59ad,646511f924eb,6a2715415106,False,False,28.0822,0.1498,0.403,29.7502,376,376,0,True,False,24ea2bd29fc8,0.0001,0.0225,e6d5ec110389,6dde4789d429,
BOLLINGER_SQUEEZE_BREAKOUT_002,bollinger_squeeze_breakout,2,,2b9849d6817c,646511f924eb,6a2715415106,True,True,0.0,0.0,0.0033,0.0317,376,376,0,True,False,92c389700f86,0.0002,0.0161,e6d5ec110389,6dde4789d429,
BOLLINGER_SQUEEZE_BREAKOUT_003,bollinger_squeeze_breakout,3,,b3360d6b5a06,646511f924eb,6a2715415106,True,True,0.0,0.0,0.0032,0.0331,363,363,0,True,False,896e3358aad3,0.0002,0.0155,e6d5ec110389,6dde4789d429,
BOLLINGER_SQUEEZE_BREAKOUT_004,bollinger_squeeze_breakout,4,,29261e4f69fb,646511f924eb,6a2715415106,True,True,0.0,0.0,0.0029,0.0306,363,363,0,True,False,ce941743d103,0.0002,0.0141,e6d5ec110389,6dde4789d429,
BOLLINGER_SQUEEZE_BREAKOUT_005,bollinger_squeeze_breakout,5,,6f2b3db4b310,646511f924eb,6a2715415106,True,True,0.0,0.0,0.0031,0.03,363,363,0,True,False,ecfab8cb2a11,0.0003,0.014,e6d5ec110389,6dde4789d429,
RSI_FAILURE_SWING_001,rsi_failure_swing,1,,e2ec0b9da268,a6548fc49bfc,f7c194c610f8,False,False,11.1548,0.2524,0.0229,11.4645,206,206,0,True,False,989cb73cdbff,0.0002,0.0233,e6d5ec110389,6dde4789d429,
RSI_FAILURE_SWING_002,rsi_failure_swing,2,,b646f54bf93a,a6548fc49bfc,f7c194c610f8,True,True,0.0,0.0,0.0049,0.031,206,206,0,True,False,581654f52d16,0.0002,0.0136,e6d5ec110389,6dde4789d429,
RSI_FAILURE_SWING_003,rsi_failure_swing,3,,4d641d1370f3,a6548fc49bfc,f7c194c610f8,True,True,0.0,0.0,0.0048,0.0315,206,206,0,True,False,edcfb780c46f,0.0002,0.0141,e6d5ec110389,6dde4789d429,
RSI_FAILURE_SWING_004,rsi_failure_swing,4,,50e0440dcc51,a6548fc49bfc,f7c194c610f8,True,True,0.0,0.0,0.0054,0.0328,206,206,0,True,False,d86529e9c439,0.0002,0.0146,e6d5ec110389,6dde4789d429,
RSI_FAILURE_SWING_005,rsi_failure_swing,5,,84dab0b623da,a6548fc49bfc,f145f0c46eab,True,False,0.0,0.2441,0.0041,0.2749,152,152,0,True,False,3b3eb7c89615,0.0003,0.0141,e6d5ec110389,6dde4789d429,
