profile_id,window,run_dir_rel,status
pa_gap_mtp1_meta,early_oow,local_runs/pa_gap_mtp1_meta/early_oow/run_20260511_134516_fixed_robust,OK
pa_gap_mtp1_meta,full_available,local_runs/pa_gap_mtp1_meta/full_available/run_20260511_134553_fixed_robust,OK
pa_gap_mtp1_meta,insample_ref,local_runs/pa_gap_mtp1_meta/insample_ref/run_20260511_134459_fixed_robust,OK
pa_gap_mtp1_meta,late_oow,local_runs/pa_gap_mtp1_meta/late_oow/run_20260511_134542_fixed_robust,OK
pa_gap_mtp2_meta,early_oow,local_runs/pa_gap_mtp2_meta/early_oow/run_20260511_134051_fixed_robust,OK
pa_gap_mtp2_meta,full_available,local_runs/pa_gap_mtp2_meta/full_available/run_20260511_134128_fixed_robust,OK
pa_gap_mtp2_meta,insample_ref,local_runs/pa_gap_mtp2_meta/insample_ref/run_20260511_134034_fixed_robust,OK
pa_gap_mtp2_meta,late_oow,local_runs/pa_gap_mtp2_meta/late_oow/run_20260511_134117_fixed_robust,OK
pa_only_mtp1_meta,early_oow,local_runs/pa_only_mtp1_meta/early_oow/run_20260511_133846_fixed_robust,OK
pa_only_mtp1_meta,full_available,local_runs/pa_only_mtp1_meta/full_available/run_20260511_133907_fixed_robust,OK
pa_only_mtp1_meta,insample_ref,local_runs/pa_only_mtp1_meta/insample_ref/run_20260511_133836_fixed_robust,OK
pa_only_mtp1_meta,late_oow,local_runs/pa_only_mtp1_meta/late_oow/run_20260511_133900_fixed_robust,OK
pa_only_mtp2_meta,early_oow,local_runs/pa_only_mtp2_meta/early_oow/run_20260511_133945_fixed_robust,OK
pa_only_mtp2_meta,full_available,local_runs/pa_only_mtp2_meta/full_available/run_20260511_134006_fixed_robust,OK
pa_only_mtp2_meta,insample_ref,local_runs/pa_only_mtp2_meta/insample_ref/run_20260511_133936_fixed_robust,OK
pa_only_mtp2_meta,late_oow,local_runs/pa_only_mtp2_meta/late_oow/run_20260511_133959_fixed_robust,OK
primary_mtp2_meta,early_oow,local_runs/primary_mtp2_meta/early_oow/run_20260511_134246_fixed_robust,OK
primary_mtp2_meta,full_available,local_runs/primary_mtp2_meta/full_available/run_20260511_134340_fixed_robust,OK
primary_mtp2_meta,insample_ref,local_runs/primary_mtp2_meta/insample_ref/run_20260511_134221_fixed_robust,OK
primary_mtp2_meta,late_oow,local_runs/primary_mtp2_meta/late_oow/run_20260511_134324_fixed_robust,OK
