candidate_id,strategy,symbol,asset,source_results_csv,source_row_index,source_sweep_folder,candidate_rank,candidate_score,strategy_family,default_priority,default_active_start_minute,default_active_end_minute,params_hash,params_json,config_yaml,filters_used,warning,trades,win_rate,total_net_pnl,total_r,avg_r,profit_factor,max_drawdown_pnl,max_drawdown_r,avg_bars_held,stop_count,target_count,eod_count,end_of_data_count,max_hold_count
MACD_MOMENTUM_TURN_001,macd_momentum_turn,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\macd_momentum_turn\sweep_20260510_003456_layer1_v2_completion_qqq_2023_2024\results.csv,19,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\macd_momentum_turn\sweep_20260510_003456_layer1_v2_completion_qqq_2023_2024,1,0.7906978731530887,macd_momentum_shift,53,45,330,283cf125f65f,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 60, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.ema_window"": 20, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[20]"", ""features.indicators.macd_tuples"": ""[[8, 21, 9], [8, 26, 9], [12, 21, 9], [12, 26, 9]]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.macd_fast"": 12, ""features.macd_signal"": 9, ""features.macd_slow"": 21, ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.ema_buffer_atr"": 0.1, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.25, ""signal.atr_column"": ""atr_like_20"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.min_hist_slope"": 0.0, ""signal.require_price_above_ema"": true, ""signal.require_vwap_side"": false, ""signal.side"": ""long_only"", ""signal.trigger_mode"": ""hist_cross_up""}",selected_candidates/MACD_MOMENTUM_TURN_001.yaml,strict,,497,0.4748490945674044,5.852387500004852,15.763786643644451,0.0317178805707131,1.0624510799363065,-8.113568749999047,-16.721688343368786,6.559356136820925,261,236,0,0,0
MACD_MOMENTUM_TURN_002,macd_momentum_turn,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\macd_momentum_turn\sweep_20260510_003456_layer1_v2_completion_qqq_2023_2024\results.csv,14,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\macd_momentum_turn\sweep_20260510_003456_layer1_v2_completion_qqq_2023_2024,2,0.7535438696662039,macd_momentum_shift,53,45,330,792b1eec8e3d,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 60, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.ema_window"": 20, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[20]"", ""features.indicators.macd_tuples"": ""[[8, 21, 9], [8, 26, 9], [12, 21, 9], [12, 26, 9]]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.macd_fast"": 8, ""features.macd_signal"": 9, ""features.macd_slow"": 26, ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.ema_buffer_atr"": 0.1, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.0, ""signal.atr_column"": ""atr_like_20"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.min_hist_slope"": 0.0, ""signal.require_price_above_ema"": true, ""signal.require_vwap_side"": false, ""signal.side"": ""long_only"", ""signal.trigger_mode"": ""zero_reclaim""}",selected_candidates/MACD_MOMENTUM_TURN_002.yaml,strict,,501,0.5329341317365269,6.867150000003676,11.698983494032298,0.0233512644591463,1.090355037410327,-4.625874999999837,-16.9189125746812,4.728542914171657,234,267,0,0,0
MACD_MOMENTUM_TURN_003,macd_momentum_turn,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\macd_momentum_turn\sweep_20260510_003456_layer1_v2_completion_qqq_2023_2024\results.csv,31,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\macd_momentum_turn\sweep_20260510_003456_layer1_v2_completion_qqq_2023_2024,3,0.6224092986229277,macd_momentum_shift,53,45,330,74ef2ff9bdc2,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 60, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.ema_window"": 20, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[20]"", ""features.indicators.macd_tuples"": ""[[8, 21, 9], [8, 26, 9], [12, 21, 9], [12, 26, 9]]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.macd_fast"": 12, ""features.macd_signal"": 9, ""features.macd_slow"": 26, ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.ema_buffer_atr"": 0.1, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.25, ""signal.atr_column"": ""atr_like_20"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.min_hist_slope"": 0.0, ""signal.require_price_above_ema"": true, ""signal.require_vwap_side"": false, ""signal.side"": ""long_only"", ""signal.trigger_mode"": ""zero_reclaim""}",selected_candidates/MACD_MOMENTUM_TURN_003.yaml,strict,,501,0.469061876247505,4.99781250000575,3.580635776436836,0.0071469775976783,1.0636962208423189,-7.045587499998646,-16.328291809170842,5.147704590818363,266,234,0,0,1
STOCHASTIC_OVERSOLD_CROSS_001,stochastic_oversold_cross,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024\results.csv,11,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024,1,1.3454934985072655,oscillator_reversal,49,45,330,91f0c61a4679,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 30, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[]"", ""features.indicators.macd_tuples"": ""[]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[[14, 3], [20, 3]]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.stoch_smooth"": 3, ""features.stoch_window"": 14, ""features.swing_lookback"": 10, ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.25, ""signal.atr_column"": ""atr_like_20"", ""signal.confirm_mode"": ""k_cross_d"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.oversold_level"": 25, ""signal.require_vwap_filter"": false, ""signal.side"": ""long_only""}",selected_candidates/STOCHASTIC_OVERSOLD_CROSS_001.yaml,strict,,502,0.4960159362549801,19.63991875000437,38.05416199327347,0.0758051035722579,1.2154160046857063,-6.296431249998648,-14.508229608959262,5.48804780876494,253,245,0,0,4
STOCHASTIC_OVERSOLD_CROSS_002,stochastic_oversold_cross,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024\results.csv,10,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024,2,1.0264156643829796,oscillator_reversal,49,45,330,9d6e4d36688a,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 30, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[]"", ""features.indicators.macd_tuples"": ""[]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[[14, 3], [20, 3]]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.stoch_smooth"": 3, ""features.stoch_window"": 14, ""features.swing_lookback"": 10, ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.0, ""signal.atr_column"": ""atr_like_20"", ""signal.confirm_mode"": ""k_cross_d"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.oversold_level"": 25, ""signal.require_vwap_filter"": false, ""signal.side"": ""long_only""}",selected_candidates/STOCHASTIC_OVERSOLD_CROSS_002.yaml,strict,,502,0.5438247011952191,14.976250000004312,26.76100337386839,0.0533087716610924,1.1819229810285063,-6.59322499999962,-18.41195407445441,4.563745019920319,229,273,0,0,0
STOCHASTIC_OVERSOLD_CROSS_003,stochastic_oversold_cross,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024\results.csv,3,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024,3,0.5154440967444354,oscillator_reversal,49,45,330,2349aa668218,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 30, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[]"", ""features.indicators.macd_tuples"": ""[]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[[14, 3], [20, 3]]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.stoch_smooth"": 3, ""features.stoch_window"": 14, ""features.swing_lookback"": 10, ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.25, ""signal.atr_column"": ""atr_like_20"", ""signal.confirm_mode"": ""k_cross_d"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.oversold_level"": 20, ""signal.require_vwap_filter"": false, ""signal.side"": ""long_only""}",selected_candidates/STOCHASTIC_OVERSOLD_CROSS_003.yaml,strict,,502,0.4760956175298805,13.194956250004054,16.277792451467537,0.0324258813774253,1.1414300425417483,-8.408899999998482,-28.816847407025342,5.647410358565737,262,234,0,0,6
STOCHASTIC_OVERSOLD_CROSS_004,stochastic_oversold_cross,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024\results.csv,27,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024,4,0.37852981005734543,oscillator_reversal,49,45,330,6147d8482108,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 30, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[]"", ""features.indicators.macd_tuples"": ""[]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[[14, 3], [20, 3]]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.stoch_smooth"": 3, ""features.stoch_window"": 20, ""features.swing_lookback"": 10, ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.25, ""signal.atr_column"": ""atr_like_20"", ""signal.confirm_mode"": ""k_cross_d"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.oversold_level"": 25, ""signal.require_vwap_filter"": false, ""signal.side"": ""long_only""}",selected_candidates/STOCHASTIC_OVERSOLD_CROSS_004.yaml,strict,,502,0.4741035856573705,7.690637500004072,14.5378359545766,0.0289598325788378,1.0797032207951625,-14.310118749998878,-30.44827071237357,5.792828685258964,263,234,0,0,5
STOCHASTIC_OVERSOLD_CROSS_005,stochastic_oversold_cross,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024\results.csv,26,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\stochastic_oversold_cross\sweep_20260510_003508_layer1_v2_completion_qqq_2023_2024,5,0.36156696367241703,oscillator_reversal,49,45,330,c264e72628e4,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 30, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[]"", ""features.indicators.ema_windows"": ""[]"", ""features.indicators.macd_tuples"": ""[]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[[14, 3], [20, 3]]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.stoch_smooth"": 3, ""features.stoch_window"": 20, ""features.swing_lookback"": 10, ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.0, ""signal.atr_column"": ""atr_like_20"", ""signal.confirm_mode"": ""k_cross_d"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.oversold_level"": 25, ""signal.require_vwap_filter"": false, ""signal.side"": ""long_only""}",selected_candidates/STOCHASTIC_OVERSOLD_CROSS_005.yaml,strict,,502,0.5258964143426295,5.046675000004541,9.6558982623887,0.0192348570963918,1.05778421010905,-12.001874999998051,-27.87569532715649,4.7848605577689245,237,263,0,0,2
CCI_EXTREME_SNAPBACK_001,cci_extreme_snapback,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\cci_extreme_snapback\sweep_20260510_003519_layer1_v2_completion_qqq_2023_2024\results.csv,30,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\cci_extreme_snapback\sweep_20260510_003519_layer1_v2_completion_qqq_2023_2024,1,1.6787689955487266,oscillator_reversal,47,45,330,65c2dee838e3,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 30, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.cci_window"": 20, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[14, 20, 30]"", ""features.indicators.ema_windows"": ""[]"", ""features.indicators.macd_tuples"": ""[]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.swing_lookback"": 10, ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.0, ""signal.atr_column"": ""atr_like_20"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.oversold_level"": -200, ""signal.require_price_confirmation"": true, ""signal.require_vwap_filter"": false, ""signal.side"": ""long_only"", ""signal.trigger_mode"": ""cross_above_zero""}",selected_candidates/CCI_EXTREME_SNAPBACK_001.yaml,strict,,122,0.5983606557377049,8.49512500000094,19.34426864147225,0.158559579028461,1.5706797841593474,-1.5368999999998891,-5.878177001199447,5.729508196721311,48,71,0,0,3
CCI_EXTREME_SNAPBACK_002,cci_extreme_snapback,QQQ,equity,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\cci_extreme_snapback\sweep_20260510_003519_layer1_v2_completion_qqq_2023_2024\results.csv,31,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\cci_extreme_snapback\sweep_20260510_003519_layer1_v2_completion_qqq_2023_2024,2,1.6577506113194032,oscillator_reversal,47,45,330,0729ccd182f6,"{""backtest.commission_per_trade"": 0.0, ""backtest.eod_exit_minute"": 389, ""backtest.max_hold_minutes"": 30, ""backtest.quantity"": 1.0, ""backtest.recompute_target_from_entry"": true, ""backtest.slippage_per_share"": 0.01, ""features.cci_window"": 20, ""features.indicators.adx_windows"": ""[]"", ""features.indicators.cci_windows"": ""[14, 20, 30]"", ""features.indicators.ema_windows"": ""[]"", ""features.indicators.macd_tuples"": ""[]"", ""features.indicators.rsi_windows"": ""[]"", ""features.indicators.sma_windows"": ""[]"", ""features.indicators.stochastic_tuples"": ""[]"", ""features.indicators.supertrend_tuples"": ""[]"", ""features.orb_open_minutes"": 15, ""features.price_action_windows"": ""[3, 5, 10, 20, 30, 60]"", ""features.swing_lookback"": 10, ""features.vol_windows"": ""[5, 15, 20, 30]"", ""features.volume_windows"": ""[20, 30]"", ""features.vwap_bands"": ""[1.0, 2.0]"", ""risk.atr_buffer_mult"": 0.35, ""risk.max_trades_per_day"": 1, ""risk.min_risk_per_share"": 0.03, ""risk.stop_mode"": ""atr_buffer"", ""risk.target_mode"": ""fixed_r"", ""risk.target_r"": 1.25, ""signal.atr_column"": ""atr_like_20"", ""signal.entry_end_minute"": 270, ""signal.entry_start_minute"": 60, ""signal.oversold_level"": -200, ""signal.require_price_confirmation"": true, ""signal.require_vwap_filter"": false, ""signal.side"": ""long_only"", ""signal.trigger_mode"": ""cross_above_zero""}",selected_candidates/CCI_EXTREME_SNAPBACK_002.yaml,strict,,122,0.5409836065573771,9.13987500000087,19.775509618093704,0.1620943411319156,1.5373157361003729,-1.857856249999827,-5.628177001199397,7.352459016393443,54,62,0,0,6
