candidate_yaml,candidate_id,strategy,warning,candidate_rank,candidate_score,n_signals,n_long_signals,n_short_signals,first_signal_ts,last_signal_ts,pure_signal_hash,signal_hash,behavior_hash_quality,stop_target_hash,reason_hash,total_unique_timestamps,mean_gap_minutes,feature_key_short,context_key_short,status,error
PA_BUY_SELL_CLOSE_TREND_001.yaml,PA_BUY_SELL_CLOSE_TREND_001,pa_buy_sell_close_trend,,1,1.436613939607784,443,443,0,2023-01-03 16:00:00+00:00,2024-12-31 15:39:00+00:00,f361519443d65a63b1c30a56f93e02fb42eed7efb09fdc69bb56f948ae96d747,8d5656ed5c9614c8dc74b7e64864cbaf8c2e6c47c03c0e3704d255b2e7a733a2,strong,88ccda943c88f86523ce33d6fd7d714ac2efaa142c8cf576031c6ef8d1c299b7,cf1dbbe895de929d,443,2371.7171945701357,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_buy_sell_close"", 60, 30, ""atr_like_20""]",ok,
PA_BUY_SELL_CLOSE_TREND_002.yaml,PA_BUY_SELL_CLOSE_TREND_002,pa_buy_sell_close_trend,,2,1.4334401172038382,443,443,0,2023-01-03 16:00:00+00:00,2024-12-31 15:39:00+00:00,f361519443d65a63b1c30a56f93e02fb42eed7efb09fdc69bb56f948ae96d747,023773d314e408cf9a6fc77fdda528bbe22718987b041b0cd91ac559fd031cb9,strong,c8d3eb1be77330ed8cc67d83bc77d0ea92b49356a6f6aec9bfd762f72890c857,cf1dbbe895de929d,443,2371.7171945701357,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_buy_sell_close"", 60, 30, ""atr_like_20""]",ok,
PA_BUY_SELL_CLOSE_TREND_003.yaml,PA_BUY_SELL_CLOSE_TREND_003,pa_buy_sell_close_trend,,3,1.4219095729272742,443,443,0,2023-01-03 16:00:00+00:00,2024-12-31 15:39:00+00:00,f361519443d65a63b1c30a56f93e02fb42eed7efb09fdc69bb56f948ae96d747,18f5b9de5ae1d0f25f15ce1454436809b2350247f75488c6c831a9578bb2fbf4,strong,ce5b894600583f8e24d355bd33e91a10a48540fd1891f163bae14dae55b7ce52,cf1dbbe895de929d,443,2371.7171945701357,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_buy_sell_close"", 60, 30, ""atr_like_20""]",ok,
PA_BUY_SELL_CLOSE_TREND_004.yaml,PA_BUY_SELL_CLOSE_TREND_004,pa_buy_sell_close_trend,,4,1.3853612460924698,461,461,0,2023-01-03 16:00:00+00:00,2024-12-31 15:39:00+00:00,87c0cc66d1c3290c72841012d71e270b3ee5e46494319eeeeb7b3b99dfcd09cb,291367ae5fc907c06713b51cb9896e3d199f0c92d888f3f407660f90b1411db8,strong,e36a8fbf10d85d2fc033b0ebc99ddd95d6872cfe04da38f9daff3e99bee20d53,cf1dbbe895de929d,461,2278.9108695652176,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_buy_sell_close"", 60, 30, ""atr_like_20""]",ok,
PA_BUY_SELL_CLOSE_TREND_005.yaml,PA_BUY_SELL_CLOSE_TREND_005,pa_buy_sell_close_trend,,5,1.3821017628001315,461,461,0,2023-01-03 16:00:00+00:00,2024-12-31 15:39:00+00:00,87c0cc66d1c3290c72841012d71e270b3ee5e46494319eeeeb7b3b99dfcd09cb,0a5adcf129423e9584f60614e99cffe59a053693e671a2348c52508fe3c5be92,strong,569935fbc1377465e8ee460dd042520c0a8db31d0304efe5769274acbdf87f70,cf1dbbe895de929d,461,2278.9108695652176,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_buy_sell_close"", 60, 30, ""atr_like_20""]",ok,
PA_CLIMAX_REVERSAL_001.yaml,PA_CLIMAX_REVERSAL_001,pa_climax_reversal,,1,1.249296174403407,50,50,0,2023-01-03 15:37:00+00:00,2024-11-25 17:25:00+00:00,3ab022fd276b51a7aa722f6b976c807103fdb930e0f4ece845b5dc1f80bfa9e3,b02899e3cd1fbe4da894400b083472942719e6d817cd666e4d97275c501db612,strong,e5714b2792c637fe8aab89d5a689251de26c17de05f68b2698e2005d914e59d7,e25d1b531159a8cc,50,20338.530612244896,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_climax_rev"", 60, ""atr_like_20""]",ok,
PA_CLIMAX_REVERSAL_002.yaml,PA_CLIMAX_REVERSAL_002,pa_climax_reversal,,2,1.249296174403407,50,50,0,2023-01-03 15:37:00+00:00,2024-11-25 17:25:00+00:00,3ab022fd276b51a7aa722f6b976c807103fdb930e0f4ece845b5dc1f80bfa9e3,b02899e3cd1fbe4da894400b083472942719e6d817cd666e4d97275c501db612,strong,e5714b2792c637fe8aab89d5a689251de26c17de05f68b2698e2005d914e59d7,e25d1b531159a8cc,50,20338.530612244896,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_climax_rev"", 60, ""atr_like_20""]",ok,
PA_CLIMAX_REVERSAL_003.yaml,PA_CLIMAX_REVERSAL_003,pa_climax_reversal,,3,1.249296174403407,50,50,0,2023-01-03 15:37:00+00:00,2024-11-25 17:25:00+00:00,3ab022fd276b51a7aa722f6b976c807103fdb930e0f4ece845b5dc1f80bfa9e3,b02899e3cd1fbe4da894400b083472942719e6d817cd666e4d97275c501db612,strong,e5714b2792c637fe8aab89d5a689251de26c17de05f68b2698e2005d914e59d7,e25d1b531159a8cc,50,20338.530612244896,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_climax_rev"", 60, ""atr_like_20""]",ok,
PA_CLIMAX_REVERSAL_004.yaml,PA_CLIMAX_REVERSAL_004,pa_climax_reversal,,4,1.249296174403407,50,50,0,2023-01-03 15:37:00+00:00,2024-11-25 17:25:00+00:00,3ab022fd276b51a7aa722f6b976c807103fdb930e0f4ece845b5dc1f80bfa9e3,b02899e3cd1fbe4da894400b083472942719e6d817cd666e4d97275c501db612,strong,e5714b2792c637fe8aab89d5a689251de26c17de05f68b2698e2005d914e59d7,e25d1b531159a8cc,50,20338.530612244896,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_climax_rev"", 60, ""atr_like_20""]",ok,
PA_CLIMAX_REVERSAL_005.yaml,PA_CLIMAX_REVERSAL_005,pa_climax_reversal,,5,1.249296174403407,50,50,0,2023-01-03 15:37:00+00:00,2024-11-25 17:25:00+00:00,3ab022fd276b51a7aa722f6b976c807103fdb930e0f4ece845b5dc1f80bfa9e3,b02899e3cd1fbe4da894400b083472942719e6d817cd666e4d97275c501db612,strong,e5714b2792c637fe8aab89d5a689251de26c17de05f68b2698e2005d914e59d7,e25d1b531159a8cc,50,20338.530612244896,"[[""orb_open_minutes"", 15], [""vwap_bands"", [1.0, 2.0]], [""vol_windows"", [5, 15, 20, 30]], [""price_action_windows"", [3, 5, 10, 20, 30, 60]], [""volume_windows"", [20, 30]], [""indicators"", ""IndicatorsFeatureConfig(ema_windows=(), sma_windows=(), rsi_windows=(), macd_tuples=(), stochastic_tuples=(), cci_windows=(), adx_wi...","[""pa_climax_rev"", 60, ""atr_like_20""]",ok,
