trade_id,candidate_id,strategy,strategy_family,symbol,session_date,side,signal_idx,signal_ts_utc,entry_idx,entry_ts_utc,exit_idx,exit_ts_utc,entry_price,exit_price,stop_price,target_price,risk_per_share,target_mode_code,target_r,net_pnl,r_multiple,exit_reason,bars_held,priority,daily_trade_number,ts_utc,minute_from_open,range_efficiency_20,vwap_cross_count_20,trend_score_20,compression_score_20,pa_strong_breakout_score_20,pa_trading_range_score_20,pa_climax_score_20,pa_late_trend_score_20,pa_trend_to_tr_transition_score_20,pa_limit_order_market_score_20,pa_regime_label_20,pa_trade_mode_20,pa_always_in_side_20,pa_distance_from_vwap_atr,vwap_slope_20,close_above_vwap,close_below_vwap,above_orb_high,below_orb_low,orb_width_pct,orb_high_dist,orb_low_dist,atr_like_20,near_prior_close_atr,near_orb_high_known_atr,near_orb_low_known_atr,near_vwap_upper_1_atr,near_vwap_lower_1_atr,near_vwap_upper_2_atr,near_vwap_lower_2_atr,near_prior_day_high_atr,near_prior_day_low_atr,near_session_open_atr,near_vwap_atr,near_rolling_high_20_atr,near_rolling_low_20_atr,entry_trade_number_of_day,entry_prior_trade_pnl_r,entry_prior_trade_was_loss,entry_prior_trade_same_strategy,entry_prior_trade_same_family,entry_session_date,entry_strategy,entry_family,entry_candidate,entry_side,entry_regime_label,entry_trade_mode,entry_always_in_side,entry_minute_from_open,entry_range_efficiency,entry_vwap_cross_count,entry_trend_score,entry_compression_score,entry_pa_strong_breakout_score,entry_pa_trading_range_score,entry_pa_climax_score,entry_pa_late_trend_score,entry_pa_trend_to_tr_transition_score,entry_pa_limit_order_market_score,entry_distance_from_vwap_atr,entry_vwap_slope,entry_above_vwap,entry_below_vwap,entry_above_orb_high,entry_below_orb_low,entry_orb_width_pct,entry_orb_high_dist,entry_orb_low_dist,entry_distance_to_prev_close_atr,entry_distance_to_orh_atr,entry_distance_to_orl_atr,entry_nearest_magnet,entry_magnet_distance_atr,entry_is_profit_target_exit,entry_is_stop_exit,entry_is_forced_exit
1,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-04,1,465,2023-01-04T15:45:00+00:00,466,2023-01-04 15:46:00+00:00,495,2023-01-04T16:15:00+00:00,264.96,265.23,264.38,265.68499999999995,0.5799999999999841,1,1.25,0.2700000000000386,0.4655172413793897,max_hold,30,70,1,2023-01-04 15:46:00+00:00,76,0.4292134831459667,1.0,5.106951871644193,0.7379679144385392,0.3347865168538423,0.3449642732262379,0.07999999999960725,0.02243100411025714,0.12403721169906182,0.0,0,1,0,0.8229144058161333,-0.1401637888373557,1,0,False,False,0.007672057164347577,-1.9800000000000182,0.060000000000002274,0.37399999999999806,1.283422459889672,5.294117647044745,0.160427807486209,1.1736624469907533,2.8194912586230196,3.170239299797792,4.8160681114300585,13.957219251299726,7.513368983937176,4.465240641699356,0.8229144058161333,0.10695187165752332,5.5614973261883245,1,,,,,2023-01-04,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,regime_unknown,trend_long,always_in_neutral,76,0.4292134831459667,1.0,5.106951871644193,0.7379679144385392,0.3347865168538423,0.3449642732262379,0.07999999999960725,0.02243100411025714,0.12403721169906182,0.0,0.8229144058161333,-0.1401637888373557,1,0,False,False,0.007672057164347577,-1.9800000000000182,0.060000000000002274,1.283422459889672,-5.294117647044745,0.160427807486209,near_rolling_high_20_atr,0.10695187165752332,False,False,True
2,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-05,1,852,2023-01-05T15:42:00+00:00,853,2023-01-05 15:43:00+00:00,862,2023-01-05T15:52:00+00:00,262.8,262.41,262.42,263.275,0.3799999999999954,1,1.25,-0.3899999999999863,-1.0263157894736603,stop,10,70,1,2023-01-05 15:43:00+00:00,73,0.1401869158877992,3.0,1.5957446808453366,0.8404255319149188,0.0,0.6647240680864098,0.4761904761879637,0.13579576317112416,0.19845085106376584,0.5710106382992326,5,0,0,0.5313345815663314,-0.03046686076760352,1,0,False,False,0.009396815734910769,-1.1999999999999886,1.2699999999999818,0.282000000000005,10.14184397159511,4.2553191489209645,4.503546099274666,1.2262372580318701,2.288906421164533,2.9838090976300715,4.0464782607627345,16.170212765899826,1.2765957446763498,4.184397163105679,0.5313345815663314,1.241134751768707,3.191489361690673,1,,,,,2023-01-05,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,late_trend_climax,trade_mode_neutral,always_in_neutral,73,0.1401869158877992,3.0,1.5957446808453366,0.8404255319149188,0.0,0.6647240680864098,0.4761904761879637,0.13579576317112416,0.19845085106376584,0.5710106382992326,0.5313345815663314,-0.03046686076760352,1,0,False,False,0.009396815734910769,-1.1999999999999886,1.2699999999999818,10.14184397159511,-4.2553191489209645,4.503546099274666,near_vwap_atr,0.5313345815663314,False,True,False
3,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-10,1,2036,2023-01-10T15:56:00+00:00,2037,2023-01-10 15:57:00+00:00,2066,2023-01-10T16:26:00+00:00,271.23,270.82,270.54,272.09250000000003,0.6899999999999977,1,1.25,-0.410000000000025,-0.5942028985507628,max_hold,30,70,1,2023-01-10 15:57:00+00:00,87,0.3501400560223171,1.0,3.6284470246628544,0.6981132075472203,0.23171033119125045,0.43255460479535807,0.6470588235276366,0.15388575521467057,0.15387558092797732,0.0928882438342864,5,1,0,0.8903630336702109,-0.17636862402832776,1,0,False,False,0.009752493535278857,-0.9099999999999682,1.7300000000000182,0.344500000000005,1.654571843246242,2.641509433954466,5.021770682133443,1.5892266200389802,3.369952687379402,4.068816273748336,5.849542341088758,12.133526850472606,3.454281567479031,4.586357039173967,0.8903630336702109,0.34833091436764724,6.211901306222767,1,,,,,2023-01-10,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,late_trend_climax,trend_long,always_in_neutral,87,0.3501400560223171,1.0,3.6284470246628544,0.6981132075472203,0.23171033119125045,0.43255460479535807,0.6470588235276366,0.15388575521467057,0.15387558092797732,0.0928882438342864,0.8903630336702109,-0.17636862402832776,1,0,False,False,0.009752493535278857,-0.9099999999999682,1.7300000000000182,1.654571843246242,-2.641509433954466,5.021770682133443,near_rolling_high_20_atr,0.34833091436764724,False,False,True
4,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-11,1,2440,2023-01-11T16:10:00+00:00,2441,2023-01-11 16:11:00+00:00,2444,2023-01-11T16:14:00+00:00,274.44,274.7425,274.19,274.7525,0.25,1,1.25,0.3025000000000091,1.2100000000000364,target,4,70,1,2023-01-11 16:11:00+00:00,101,0.004830917874389556,2.0,0.044247787610382505,0.8340707964602172,0.0,0.9866700493663334,0.3157894736825642,0.003455027064342358,0.014271853595691025,0.9889380530974043,4,2,0,0.5268529569630981,-0.04553359186070338,1,0,False,False,0.005877521219311905,-0.2400000000000091,1.3700000000000045,0.22600000000000478,6.94690265483634,1.0619469026501862,6.061946902627937,1.23497850203384,2.288684415960036,2.996809961030778,4.050515874956974,6.902654867225959,24.424778760953274,2.433628318573301,0.5268529569630981,0.398230088493694,3.7168141592756516,1,,,,,2023-01-11,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,trading_range,range_mode,always_in_neutral,101,0.004830917874389556,2.0,0.044247787610382505,0.8340707964602172,0.0,0.9866700493663334,0.3157894736825642,0.003455027064342358,0.014271853595691025,0.9889380530974043,0.5268529569630981,-0.04553359186070338,1,0,False,False,0.005877521219311905,-0.2400000000000091,1.3700000000000045,6.94690265483634,-1.0619469026501862,6.061946902627937,near_rolling_high_20_atr,0.398230088493694,True,False,False
5,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-12,1,2833,2023-01-12T16:13:00+00:00,2834,2023-01-12 16:14:00+00:00,2835,2023-01-12T16:15:00+00:00,276.69,277.21750000000003,276.26,277.2275,0.4300000000000068,1,1.25,0.5275000000000318,1.2267441860465662,target,2,70,1,2023-01-12 16:14:00+00:00,104,0.028446389496722277,6.0,-0.2905027932955556,0.8290502793296319,0.0,0.9190315007295069,0.8913043478241198,0.06034873188382141,0.07882885463552143,0.9273743016761111,4,3,0,1.1258617754710063,-0.005401735780594663,1,0,False,False,0.01419823334959088,-1.670000000000016,2.259999999999991,0.4475000000000023,1.1173184357516874,3.7318435754106716,5.050279329597607,1.5311700236207297,3.7828935745627423,4.1882018227123385,6.439925373654352,1.2737430167570356,8.871508379868333,2.3016759776485425,1.1258617754710063,0.9162011173164396,3.2849162011098954,1,,,,,2023-01-12,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,trading_range,climax_mode,always_in_neutral,104,0.028446389496722277,6.0,-0.2905027932955556,0.8290502793296319,0.0,0.9190315007295069,0.8913043478241198,0.06034873188382141,0.07882885463552143,0.9273743016761111,1.1258617754710063,-0.005401735780594663,1,0,False,False,0.01419823334959088,-1.670000000000016,2.259999999999991,1.1173184357516874,-3.7318435754106716,5.050279329597607,near_rolling_high_20_atr,0.9162011173164396,True,False,False
6,VWAP_TREND_PULLBACK_001,vwap_trend_pullback,vwap_trend,QQQ,2023-01-13,1,3230,2023-01-13T16:20:00+00:00,3231,2023-01-13 16:21:00+00:00,3256,2023-01-13T16:46:00+00:00,277.98,277.43,277.44,278.7900000000001,0.5400000000000205,1,1.5,-0.5500000000000114,-1.018518518518501,stop,26,75,1,2023-01-13 16:21:00+00:00,111,0.18181818181810316,2.0,-1.9551934826803274,0.7861507128309921,0.0,0.6106205695817511,0.37499999999761185,0.12311901504675449,0.19712893626176678,0.5112016293299182,5,0,0,0.28400242557774413,0.02554943661471043,1,0,True,False,0.004369098557475443,0.36000000000001364,1.57000000000005,0.24549999999999272,4.602851323810289,1.4663951120104193,6.395112016267623,1.653527751996164,2.221532603151652,3.5910579295703036,4.159062780725792,8.920570264729703,16.985743380786776,5.661914460262413,0.28400242557774413,3.1771894093556767,1.9144602851247525,1,,,,,2023-01-13,vwap_trend_pullback,vwap_trend,VWAP_TREND_PULLBACK_001,1,late_trend_climax,trade_mode_neutral,always_in_neutral,111,0.18181818181810316,2.0,-1.9551934826803274,0.7861507128309921,0.0,0.6106205695817511,0.37499999999761185,0.12311901504675449,0.19712893626176678,0.5112016293299182,0.28400242557774413,0.02554943661471043,1,0,True,False,0.004369098557475443,0.36000000000001364,1.57000000000005,4.602851323810289,1.4663951120104193,6.395112016267623,near_vwap_atr,0.28400242557774413,False,True,False
7,VWAP_TREND_PULLBACK_001,vwap_trend_pullback,vwap_trend,QQQ,2023-01-17,1,3577,2023-01-17T15:37:00+00:00,3578,2023-01-17 15:38:00+00:00,3580,2023-01-17T15:40:00+00:00,281.76,281.47,281.48,282.17999999999995,0.2799999999999727,1,1.5,-0.2899999999999636,-1.0357142857142567,stop,3,75,1,2023-01-17 15:38:00+00:00,68,0.3252032520323654,0.0,-3.4042553191345477,0.7340425531915421,0.0,0.45238762732547,0.16666666666605118,0.07662835248996351,0.16226960783490604,0.14893617021636307,0,0,0,1.0826516810785802,0.19066393471251786,1,0,True,False,0.006026566818222334,0.4399999999999977,2.1299999999999955,0.2349999999999966,3.276595744666878,1.8723404255239648,9.063829787195585,1.8217647173737388,3.987068079530899,4.726181115826058,6.8914844779832185,2.0851063829696774,23.617021276495393,3.999999999983027,1.0826516810785802,4.80851063827746,0.978723404251004,1,,,,,2023-01-17,vwap_trend_pullback,vwap_trend,VWAP_TREND_PULLBACK_001,1,regime_unknown,trade_mode_neutral,always_in_neutral,68,0.3252032520323654,0.0,-3.4042553191345477,0.7340425531915421,0.0,0.45238762732547,0.16666666666605118,0.07662835248996351,0.16226960783490604,0.14893617021636307,1.0826516810785802,0.19066393471251786,1,0,True,False,0.006026566818222334,0.4399999999999977,2.1299999999999955,3.276595744666878,1.8723404255239648,9.063829787195585,near_rolling_low_20_atr,0.978723404251004,False,True,False
8,VWAP_TREND_PULLBACK_001,vwap_trend_pullback,vwap_trend,QQQ,2023-01-24,1,5613,2023-01-24T17:03:00+00:00,5614,2023-01-24 17:04:00+00:00,5617,2023-01-24T17:07:00+00:00,288.25,288.69000000000005,287.95,288.70000000000005,0.3000000000000113,1,1.5,0.4400000000000545,1.466666666666793,target,4,75,1,2023-01-24 17:04:00+00:00,154,0.12380952380945917,2.0,-1.3577023498622998,0.8093994778068356,0.0,0.7003712986178717,0.782608695648739,0.19832189168408568,0.1911938310694168,0.6605744125344251,5,3,0,1.1903779293108536,0.023375988285920357,1,0,True,False,0.005181076899003805,0.09000000000003183,1.580000000000041,0.19150000000000206,3.080939947764427,0.4699738903371326,8.2506527414714,1.1590320330444073,3.5397878916661143,3.5084419953993713,5.889197854021078,9.347258485590585,29.71279373352597,5.796344647489323,1.1903779293108536,2.8720626631704094,2.454308093982078,1,,,,,2023-01-24,vwap_trend_pullback,vwap_trend,VWAP_TREND_PULLBACK_001,1,late_trend_climax,climax_mode,always_in_neutral,154,0.12380952380945917,2.0,-1.3577023498622998,0.8093994778068356,0.0,0.7003712986178717,0.782608695648739,0.19832189168408568,0.1911938310694168,0.6605744125344251,1.1903779293108536,0.023375988285920357,1,0,True,False,0.005181076899003805,0.09000000000003183,1.580000000000041,3.080939947764427,0.4699738903371326,8.2506527414714,near_orb_high_known_atr,0.4699738903371326,True,False,False
9,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-25,1,5937,2023-01-25T15:57:00+00:00,5938,2023-01-25 15:58:00+00:00,5944,2023-01-25T16:04:00+00:00,282.64,282.905,282.42,282.915,0.2199999999999704,1,1.25,0.2649999999999863,1.2045454545455545,target,7,70,1,2023-01-25 15:58:00+00:00,88,0.5897435897433377,1.0,5.498007968105628,0.7470119521912855,0.4655870445342372,0.2969583548449975,0.9473684210479918,0.27419639703104853,0.07882049448798933,0.0,5,1,0,0.6651809054669777,-0.06501298172418046,1,0,False,False,0.0056481219994350676,-1.3599999999999568,0.2400000000000091,0.2510000000000076,22.669322709072336,5.418326693205169,0.9561752988009787,1.1897044556083027,2.5200662665422584,3.044589816683583,4.374951627617539,27.21115537837676,16.175298804715727,4.183266932253942,0.6651809054669777,0.15936254980001216,5.936254980055888,1,,,,,2023-01-25,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,late_trend_climax,trend_long,always_in_neutral,88,0.5897435897433377,1.0,5.498007968105628,0.7470119521912855,0.4655870445342372,0.2969583548449975,0.9473684210479918,0.27419639703104853,0.07882049448798933,0.0,0.6651809054669777,-0.06501298172418046,1,0,False,False,0.0056481219994350676,-1.3599999999999568,0.2400000000000091,22.669322709072336,-5.418326693205169,0.9561752988009787,near_rolling_high_20_atr,0.15936254980001216,True,False,False
10,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-27,1,6736,2023-01-27T16:16:00+00:00,6737,2023-01-27 16:17:00+00:00,6750,2023-01-27T16:30:00+00:00,294.29,294.8299999999999,293.85,294.8399999999999,0.4399999999999409,1,1.25,0.5399999999999636,1.2272727272728094,target,14,70,1,2023-01-27 16:17:00+00:00,107,0.2648221343872384,1.0,2.5572519083872978,0.8416030534351338,0.24275362318832275,0.5292393490002473,0.08333333333338086,0.01624951493982441,0.1790432601971036,0.36068702290317556,0,0,0,1.0197673190995766,-0.026688411056795758,1,0,True,False,0.005228177484665823,0.8799999999999955,2.410000000000025,0.2619999999999948,3.4732824427349995,3.3587786259414285,9.19847328240792,1.2677278861513923,3.307262524350546,3.5552230914025786,5.5947577296017315,2.9389312976989124,22.061068702206427,8.740458015234067,1.0197673190995766,0.11450381679335424,4.007633587771086,1,,,,,2023-01-27,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,regime_unknown,trade_mode_neutral,always_in_neutral,107,0.2648221343872384,1.0,2.5572519083872978,0.8416030534351338,0.24275362318832275,0.5292393490002473,0.08333333333338086,0.01624951493982441,0.1790432601971036,0.36068702290317556,1.0197673190995766,-0.026688411056795758,1,0,True,False,0.005228177484665823,0.8799999999999955,2.410000000000025,3.4732824427349995,3.3587786259414285,9.19847328240792,near_rolling_high_20_atr,0.11450381679335424,True,False,False
11,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-01-30,1,7140,2023-01-30T16:30:00+00:00,7141,2023-01-30 16:31:00+00:00,7142,2023-01-30T16:32:00+00:00,292.49,292.2,292.21,292.84000000000003,0.2800000000000295,1,1.25,-0.2900000000000204,-1.0357142857142494,stop,2,70,1,2023-01-30 16:31:00+00:00,121,0.09740259740256997,1.0,1.063829787230313,0.8741134751773205,0.0,0.7514460329592024,0.30434782608565475,0.06393861892538065,0.17755320354433604,0.7340425531924217,0,0,0,0.030603306821745342,-0.03308516608569789,1,0,False,False,0.004198740377886696,-1.1499999999999773,0.08000000000004093,0.2819999999999993,13.40425531910134,4.078014184382631,0.2836879432615512,2.9808322734044848,3.0420388870479758,5.992267853630917,6.053474467274407,20.7446808509902,1.8794326241069201,1.843971631199075,0.030603306821745342,0.780141843968762,2.9078014184295897,1,,,,,2023-01-30,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,regime_unknown,trade_mode_neutral,always_in_neutral,121,0.09740259740256997,1.0,1.063829787230313,0.8741134751773205,0.0,0.7514460329592024,0.30434782608565475,0.06393861892538065,0.17755320354433604,0.7340425531924217,0.030603306821745342,-0.03308516608569789,1,0,False,False,0.004198740377886696,-1.1499999999999773,0.08000000000004093,13.40425531910134,-4.078014184382631,0.2836879432615512,near_vwap_atr,0.030603306821745342,False,True,False
12,VWAP_TREND_PULLBACK_001,vwap_trend_pullback,vwap_trend,QQQ,2023-01-31,1,7563,2023-01-31T17:03:00+00:00,7564,2023-01-31 17:04:00+00:00,7569,2023-01-31T17:09:00+00:00,292.16,292.5099999999999,291.92,292.51999999999987,0.2399999999999522,1,1.5,0.349999999999909,1.4583333333332444,target,6,75,1,2023-01-31 17:04:00+00:00,154,0.17647058823518544,0.0,-1.6216216216135546,0.8255528255528617,0.0,0.6487556561095669,0.9999999999954545,0.28846153845920625,0.18746293468536235,0.5945945945966113,5,3,0,2.343623732564544,0.04957950272063272,1,0,True,False,0.005669616012370189,0.5199999999999818,2.170000000000016,0.2035000000000025,10.958230958177063,2.5552825552698777,10.663390663338209,0.10724396502722565,4.580003500101863,2.129135802510093,6.816383267639181,9.877149877101173,12.18673218667224,10.122850122800266,2.343623732564544,2.5552825552698777,2.2113022112912617,1,,,,,2023-01-31,vwap_trend_pullback,vwap_trend,VWAP_TREND_PULLBACK_001,1,late_trend_climax,climax_mode,always_in_neutral,154,0.17647058823518544,0.0,-1.6216216216135546,0.8255528255528617,0.0,0.6487556561095669,0.9999999999954545,0.28846153845920625,0.18746293468536235,0.5945945945966113,2.343623732564544,0.04957950272063272,1,0,True,False,0.005669616012370189,0.5199999999999818,2.170000000000016,10.958230958177063,2.5552825552698777,10.663390663338209,near_vwap_upper_1_atr,0.10724396502722565,True,False,False
13,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-02-01,1,7911,2023-02-01T16:21:00+00:00,7912,2023-02-01 16:22:00+00:00,7923,2023-02-01T16:33:00+00:00,294.04,294.30499999999995,293.82,294.31499999999994,0.2199999999999704,1,1.25,0.2649999999999863,1.2045454545455545,target,12,70,1,2023-02-01 16:22:00+00:00,112,0.6062176165800028,1.0,6.20689655169123,0.7506631299735441,0.5164075993089031,0.27310600756290704,0.9629629629598487,0.29279279279123754,0.07250179859612732,0.0,5,1,0,0.8928595005062958,-0.05579409035902927,1,0,False,False,0.004420866489831852,-0.5499999999999545,0.75,0.18850000000000194,2.705570291762759,2.9177718832733746,3.9787798408276576,1.3308739525255215,3.116592953538113,3.5546074055573387,5.340326406569931,2.97082228115133,21.007957559570226,1.3262599469425524,0.8928595005062958,0.5835543766547955,6.84350132622368,1,,,,,2023-02-01,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,late_trend_climax,trend_long,always_in_neutral,112,0.6062176165800028,1.0,6.20689655169123,0.7506631299735441,0.5164075993089031,0.27310600756290704,0.9629629629598487,0.29279279279123754,0.07250179859612732,0.0,0.8928595005062958,-0.05579409035902927,1,0,False,False,0.004420866489831852,-0.5499999999999545,0.75,2.705570291762759,-2.9177718832733746,3.9787798408276576,near_rolling_high_20_atr,0.5835543766547955,True,False,False
14,VWAP_RECLAIM_REJECT_001,vwap_reclaim_reject,vwap_reclaim,QQQ,2023-02-06,1,9051,2023-02-06T15:51:00+00:00,9052,2023-02-06 15:52:00+00:00,9081,2023-02-06T16:21:00+00:00,304.53,304.92,303.82,305.4175,0.7099999999999795,1,1.25,0.3900000000000432,0.549295774647964,max_hold,30,70,1,2023-02-06 15:52:00+00:00,82,0.5430107526880503,1.0,5.730496453884346,0.7333333333333744,0.0,0.2994686353809481,0.8695652173876203,0.512105463300563,0.08982777302284536,0.0,5,1,0,0.8933174985952811,-0.13769244262977054,1,0,False,False,0.005096923759885603,-0.5600000000000023,0.9900000000000091,0.3525000000000034,5.304964538992005,1.588652482264988,2.8085106382899037,1.1609221692286535,2.9475571664192155,3.2151618370525883,5.001796834243151,22.89361702121141,0.6241134751756058,2.2695035460928628,0.8933174985952811,0.7943262411325746,5.957446808493583,1,,,,,2023-02-06,vwap_reclaim_reject,vwap_reclaim,VWAP_RECLAIM_REJECT_001,1,late_trend_climax,trend_long,always_in_neutral,82,0.5430107526880503,1.0,5.730496453884346,0.7333333333333744,0.0,0.2994686353809481,0.8695652173876203,0.512105463300563,0.08982777302284536,0.0,0.8933174985952811,-0.13769244262977054,1,0,False,False,0.005096923759885603,-0.5600000000000023,0.9900000000000091,5.304964538992005,-1.588652482264988,2.8085106382899037,near_prior_day_low_atr,0.6241134751756058,False,False,True
15,VWAP_TREND_PULLBACK_001,vwap_trend_pullback,vwap_trend,QQQ,2023-02-06,1,9125,2023-02-06T17:05:00+00:00,9126,2023-02-06 17:06:00+00:00,9170,2023-02-06T17:50:00+00:00,304.26,304.61,303.73,305.05499999999995,0.5299999999999727,1,1.5,0.3500000000000227,0.6603773584906429,max_hold,45,75,2,2023-02-06 17:06:00+00:00,156,0.23735408560302115,4.0,-2.444889779549425,0.783567134268579,0.0,0.546990243336701,0.4090909090889909,0.15518995929332735,0.18731507053356505,0.3887775551126438,5,0,0,0.3465935644352625,0.0109177739851134,1,0,False,False,0.005096923759885603,-0.5400000000000205,1.009999999999991,0.24949999999999478,7.414829659289165,2.164328657306082,4.048096192368593,2.675335966802056,3.368523095672581,5.697265498039147,6.390452626909672,32.26452905798764,0.8016032064098119,3.286573146279454,0.3465935644352625,3.126252504997674,2.444889779549197,2,0.549295774647964,False,False,False,2023-02-06,vwap_trend_pullback,vwap_trend,VWAP_TREND_PULLBACK_001,1,late_trend_climax,trade_mode_neutral,always_in_neutral,156,0.23735408560302115,4.0,-2.444889779549425,0.783567134268579,0.0,0.546990243336701,0.4090909090889909,0.15518995929332735,0.18731507053356505,0.3887775551126438,0.3465935644352625,0.0109177739851134,1,0,False,False,0.005096923759885603,-0.5400000000000205,1.009999999999991,7.414829659289165,-2.164328657306082,4.048096192368593,near_vwap_atr,0.3465935644352625,False,False,True
