profile,overlay,bars_held,count,window_label
pa_gap_mtp2_meta,max_hold_tighten_60,4,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,11,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,18,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,20,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,21,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,24,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,30,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,32,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,39,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,42,1,smoke
pa_gap_mtp2_meta,max_hold_tighten_60,60,13,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,4,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,5,11,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,6,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,7,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,8,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,9,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,10,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,12,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,16,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,36,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,39,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,49,1,smoke
pa_gap_mtp2_meta,no_followthrough_exit_5bars,120,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,4,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,11,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,18,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,20,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,27,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,28,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,30,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,32,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,42,2,smoke
pa_gap_mtp2_meta,trend_swing_2r,75,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,90,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,93,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,96,1,smoke
pa_gap_mtp2_meta,trend_swing_2r,120,9,smoke
pa_only_mtp1_meta,max_hold_tighten_60,30,1,smoke
pa_only_mtp1_meta,max_hold_tighten_60,39,1,smoke
pa_only_mtp1_meta,max_hold_tighten_60,42,1,smoke
pa_only_mtp1_meta,max_hold_tighten_60,60,13,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,5,7,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,6,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,8,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,9,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,10,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,12,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,36,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,39,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,49,1,smoke
pa_only_mtp1_meta,no_followthrough_exit_5bars,120,1,smoke
pa_only_mtp1_meta,trend_swing_2r,30,1,smoke
pa_only_mtp1_meta,trend_swing_2r,42,2,smoke
pa_only_mtp1_meta,trend_swing_2r,75,1,smoke
pa_only_mtp1_meta,trend_swing_2r,93,1,smoke
pa_only_mtp1_meta,trend_swing_2r,96,1,smoke
pa_only_mtp1_meta,trend_swing_2r,120,10,smoke
