profile_id,window,exit_reason,count
pa_gap_mtp1_meta,early_oow,max_hold,310
pa_gap_mtp1_meta,early_oow,stop,239
pa_gap_mtp1_meta,early_oow,target,133
pa_gap_mtp1_meta,full_available,max_hold,636
pa_gap_mtp1_meta,full_available,stop,512
pa_gap_mtp1_meta,full_available,target,286
pa_gap_mtp1_meta,full_available,end_of_session,1
pa_gap_mtp1_meta,insample_ref,max_hold,196
pa_gap_mtp1_meta,insample_ref,stop,160
pa_gap_mtp1_meta,insample_ref,target,98
pa_gap_mtp1_meta,late_oow,max_hold,130
pa_gap_mtp1_meta,late_oow,stop,113
pa_gap_mtp1_meta,late_oow,target,55
pa_gap_mtp1_meta,late_oow,end_of_session,1
pa_gap_mtp2_meta,early_oow,max_hold,386
pa_gap_mtp2_meta,early_oow,stop,281
pa_gap_mtp2_meta,early_oow,target,151
pa_gap_mtp2_meta,full_available,max_hold,813
pa_gap_mtp2_meta,full_available,stop,608
pa_gap_mtp2_meta,full_available,target,325
pa_gap_mtp2_meta,full_available,end_of_session,1
pa_gap_mtp2_meta,insample_ref,max_hold,254
pa_gap_mtp2_meta,insample_ref,stop,195
pa_gap_mtp2_meta,insample_ref,target,114
pa_gap_mtp2_meta,late_oow,max_hold,173
pa_gap_mtp2_meta,late_oow,stop,132
pa_gap_mtp2_meta,late_oow,target,60
pa_gap_mtp2_meta,late_oow,end_of_session,1
pa_only_mtp1_meta,early_oow,max_hold,371
pa_only_mtp1_meta,early_oow,stop,205
pa_only_mtp1_meta,early_oow,target,74
pa_only_mtp1_meta,full_available,max_hold,792
pa_only_mtp1_meta,full_available,stop,431
pa_only_mtp1_meta,full_available,target,155
pa_only_mtp1_meta,full_available,end_of_session,1
pa_only_mtp1_meta,insample_ref,max_hold,251
pa_only_mtp1_meta,insample_ref,stop,138
pa_only_mtp1_meta,insample_ref,target,54
pa_only_mtp1_meta,late_oow,max_hold,170
pa_only_mtp1_meta,late_oow,stop,88
pa_only_mtp1_meta,late_oow,target,27
pa_only_mtp1_meta,late_oow,end_of_session,1
pa_only_mtp2_meta,early_oow,max_hold,371
pa_only_mtp2_meta,early_oow,stop,205
pa_only_mtp2_meta,early_oow,target,74
pa_only_mtp2_meta,full_available,max_hold,792
pa_only_mtp2_meta,full_available,stop,431
pa_only_mtp2_meta,full_available,target,155
pa_only_mtp2_meta,full_available,end_of_session,1
pa_only_mtp2_meta,insample_ref,max_hold,251
pa_only_mtp2_meta,insample_ref,stop,138
pa_only_mtp2_meta,insample_ref,target,54
pa_only_mtp2_meta,late_oow,max_hold,170
pa_only_mtp2_meta,late_oow,stop,88
pa_only_mtp2_meta,late_oow,target,27
pa_only_mtp2_meta,late_oow,end_of_session,1
primary_mtp2_meta,early_oow,max_hold,457
primary_mtp2_meta,early_oow,stop,350
primary_mtp2_meta,early_oow,target,217
primary_mtp2_meta,full_available,max_hold,989
primary_mtp2_meta,full_available,stop,746
primary_mtp2_meta,full_available,target,451
primary_mtp2_meta,full_available,end_of_session,2
primary_mtp2_meta,insample_ref,max_hold,321
primary_mtp2_meta,insample_ref,stop,228
primary_mtp2_meta,insample_ref,target,144
primary_mtp2_meta,insample_ref,end_of_session,1
primary_mtp2_meta,late_oow,max_hold,211
primary_mtp2_meta,late_oow,stop,168
primary_mtp2_meta,late_oow,target,90
primary_mtp2_meta,late_oow,end_of_session,1
