strategy,status,sweep_folder,results_csv,summary_txt,testing_config_used,grid_size,combinations_completed,combinations_skipped_duplicate,elapsed_sec,result_rows,best_profit_factor,best_total_r,best_total_net_pnl,best_trades,best_max_drawdown_r,best_avg_bars_held,best_max_hold_count,best_eod_count,best_end_of_data_count,notes
afternoon_continuation,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\afternoon_continuation\sweep_20260506_002816_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\afternoon_continuation\sweep_20260506_002816_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\afternoon_continuation\sweep_20260506_002816_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\afternoon_continuation_focused.yaml,256,256,0,36.798,256,1.1491436118843792,26.892630898071257,52.507500000013465,789,-22.96674933364519,72.10646387832699,388,96,0,
failed_orb,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\failed_orb\sweep_20260506_002936_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\failed_orb\sweep_20260506_002936_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\failed_orb\sweep_20260506_002936_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\failed_orb_focused.yaml,768,768,0,80.823,768,1.196979486351183,55.828269472037945,85.36500000001047,836,-22.564041488794818,23.322966507177032,116,0,0,
gap_acceptance_failure,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\gap_acceptance_failure\sweep_20260506_003010_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\gap_acceptance_failure\sweep_20260506_003010_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\gap_acceptance_failure\sweep_20260506_003010_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\gap_acceptance_failure_focused.yaml,192,192,0,32.993,192,1.2809731074149096,41.561842152564,72.30000000000342,403,-12.26366371615957,30.90322580645161,46,0,0,
midday_compression_breakout,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\midday_compression_breakout\sweep_20260506_004101_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\midday_compression_breakout\sweep_20260506_004101_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\midday_compression_breakout\sweep_20260506_004101_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\midday_compression_breakout_focused.yaml,31104,31104,0,650.431,31104,inf,0.984615384615398,0.6399999999999864,1,0.0,12.0,0,0,0,
orb_continuation,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\orb_continuation\sweep_20260506_004324_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\orb_continuation\sweep_20260506_004324_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\orb_continuation\sweep_20260506_004324_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\orb_continuation_focused.yaml,512,512,0,141.712,512,1.0079861111111297,2.170464587128538,4.830000000011125,989,-41.05290769298003,38.49140546006067,193,0,0,
orb_retest_continuation,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\orb_retest_continuation\sweep_20260506_004429_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\orb_retest_continuation\sweep_20260506_004429_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\orb_retest_continuation\sweep_20260506_004429_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\orb_retest_continuation_focused.yaml,256,256,0,64.666,256,1.0371182619389503,36.59215214740945,18.11000000001343,980,-32.5729423261623,23.99183673469388,287,0,0,
prior_day_level_trap,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\prior_day_level_trap\sweep_20260506_004507_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\prior_day_level_trap\sweep_20260506_004507_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\prior_day_level_trap\sweep_20260506_004507_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\prior_day_level_trap_focused.yaml,512,512,0,38.13,512,1.1167742131856355,6.58839043856441,19.182500000003927,359,-19.041613636036026,21.584958217270195,57,0,0,
vwap_reclaim_reject,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_reclaim_reject\sweep_20260506_004534_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_reclaim_reject\sweep_20260506_004534_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_reclaim_reject\sweep_20260506_004534_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\vwap_reclaim_reject_focused.yaml,512,512,0,27.302,512,1.0059836544075194,24.941880834362628,0.7175000000056002,594,-28.094752603784062,6.284511784511785,87,0,0,
vwap_reversal,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_reversal\sweep_20260506_004557_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_reversal\sweep_20260506_004557_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_reversal\sweep_20260506_004557_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\vwap_reversal_focused.yaml,480,480,0,22.925,480,1.1079020519815486,-327.1537799504068,12.595037923911748,980,-334.7323578093976,3.510204081632653,1,0,0,
vwap_trend_pullback,ok,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_trend_pullback\sweep_20260506_004618_layer1_qqq_2020_20260430_posthardening_v1,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_trend_pullback\sweep_20260506_004618_layer1_qqq_2020_20260430_posthardening_v1\results.csv,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters_results\vwap_trend_pullback\sweep_20260506_004618_layer1_qqq_2020_20260430_posthardening_v1\summary.txt,D:\OneDrive - Washington University in St. Louis\QT\src\strategies\testing_parameters\vwap_trend_pullback_focused.yaml,512,512,0,20.194,512,1.0207864663007742,1.3578328427954671,2.3100000000049192,460,-19.968626493149763,10.608695652173912,4,0,0,
