profile_id,window,gate_id,gate_category,level,metric,value,threshold,pass
pa_gap_mtp1_meta,early_oow,win_positive_all,window,PASS,total_r,54.0047308112141,0.0,True
pa_gap_mtp1_meta,full_available,win_positive_all,window,PASS,total_r,117.40405934587943,0.0,True
pa_gap_mtp1_meta,full_available,dd_full_warning,drawdown,WARNING,max_dd_r,-22.343987097216072,-30.0,True
pa_gap_mtp1_meta,full_available,neg_month_cap_full,stability,PASS,negative_month_ratio,0.32894736842105265,0.55,True
pa_gap_mtp1_meta,full_available,worst_month_full_warning,stability,WARNING,worst_month_r,-8.53075850275083,-6.0,True
pa_gap_mtp1_meta,full_available,worst_quarter_full_warning,stability,PASS,worst_quarter_r,-7.951128412168371,-10.0,True
pa_gap_mtp1_meta,full_available,limit_stress_positive_full,cost,PASS,total_r_target_limit_stress,95.30455475916182,0.0,True
pa_gap_mtp1_meta,full_available,max_hold_share_warning,exit_mechanics,PASS,max_hold_share,0.443205574912892,0.6,True
pa_gap_mtp1_meta,insample_ref,win_positive_all,window,PASS,total_r,45.281921468863,0.0,True
pa_gap_mtp1_meta,late_oow,win_positive_all,window,PASS,total_r,18.117407065802333,0.0,True
pa_gap_mtp1_meta,late_oow,dd_late_warning,drawdown,WARNING,max_dd_r,-15.431505269933702,-20.0,True
pa_only_mtp2_meta,early_oow,win_positive_all,window,PASS,total_r,45.14041230536661,0.0,True
pa_only_mtp2_meta,full_available,win_positive_all,window,PASS,total_r,104.59469676655733,0.0,True
pa_only_mtp2_meta,full_available,dd_full_warning,drawdown,WARNING,max_dd_r,-17.7148014135999,-30.0,True
pa_only_mtp2_meta,full_available,neg_month_cap_full,stability,PASS,negative_month_ratio,0.35526315789473684,0.55,True
pa_only_mtp2_meta,full_available,worst_month_full_warning,stability,WARNING,worst_month_r,-8.438034864905076,-6.0,True
pa_only_mtp2_meta,full_available,worst_quarter_full_warning,stability,WARNING,worst_quarter_r,-11.68332236140594,-10.0,True
pa_only_mtp2_meta,full_available,limit_stress_positive_full,cost,PASS,total_r_target_limit_stress,84.21667980383039,0.0,True
pa_only_mtp2_meta,full_available,max_hold_share_warning,exit_mechanics,PASS,max_hold_share,0.574329224075417,0.6,True
pa_only_mtp2_meta,insample_ref,win_positive_all,window,PASS,total_r,37.96783399907462,0.0,True
pa_only_mtp2_meta,late_oow,win_positive_all,window,PASS,total_r,21.486450462116103,0.0,True
pa_only_mtp2_meta,late_oow,dd_late_warning,drawdown,WARNING,max_dd_r,-12.69312628297456,-20.0,True
primary_mtp2_meta,early_oow,win_positive_all,window,PASS,total_r,61.32923112052876,0.0,True
primary_mtp2_meta,full_available,win_positive_all,window,PASS,total_r,135.88810215383648,0.0,True
primary_mtp2_meta,full_available,dd_full_warning,drawdown,WARNING,max_dd_r,-25.086059211538014,-30.0,True
primary_mtp2_meta,full_available,neg_month_cap_full,stability,PASS,negative_month_ratio,0.34210526315789475,0.55,True
primary_mtp2_meta,full_available,worst_month_full_warning,stability,WARNING,worst_month_r,-10.375641995669689,-6.0,True
primary_mtp2_meta,full_available,worst_quarter_full_warning,stability,PASS,worst_quarter_r,-8.576287482379714,-10.0,True
primary_mtp2_meta,full_available,limit_stress_positive_full,cost,PASS,total_r_target_limit_stress,96.33174886642077,0.0,True
primary_mtp2_meta,full_available,max_hold_share_warning,exit_mechanics,PASS,max_hold_share,0.4520109689213894,0.6,True
primary_mtp2_meta,insample_ref,win_positive_all,window,PASS,total_r,62.69586720508018,0.0,True
primary_mtp2_meta,late_oow,win_positive_all,window,PASS,total_r,11.863003828227539,0.0,True
primary_mtp2_meta,late_oow,dd_late_warning,drawdown,WARNING,max_dd_r,-16.489706834881122,-20.0,True
