profile_id,role,window,start_date,end_date,candidate_ids,max_trades_per_day,daily_max_loss_r,priority_policy,status,exit_code,run_dir_rel,config_path_rel,error_summary
pa_only_mtp2_meta,ABLATION_MTP2,early_oow,2020-01-01,2022-12-31,PA_BUY_SELL_CLOSE_TREND_003,2,-1.5,metadata_priority,OK,0,local_runs/pa_only_mtp2_meta/early_oow/run_20260511_154353_layer3_smoke,local_configs/pa_only_mtp2_meta.yaml,
pa_only_mtp2_meta,ABLATION_MTP2,insample_ref,2023-01-01,2024-12-31,PA_BUY_SELL_CLOSE_TREND_003,2,-1.5,metadata_priority,OK,0,local_runs/pa_only_mtp2_meta/insample_ref/run_20260511_154409_layer3_smoke,local_configs/pa_only_mtp2_meta.yaml,
pa_only_mtp2_meta,ABLATION_MTP2,late_oow,2025-01-01,2026-04-30,PA_BUY_SELL_CLOSE_TREND_003,2,-1.5,metadata_priority,OK,0,local_runs/pa_only_mtp2_meta/late_oow/run_20260511_154420_layer3_smoke,local_configs/pa_only_mtp2_meta.yaml,
pa_only_mtp2_meta,ABLATION_MTP2,full_available,2020-01-01,2026-04-30,PA_BUY_SELL_CLOSE_TREND_003,2,-1.5,metadata_priority,OK,0,local_runs/pa_only_mtp2_meta/full_available/run_20260511_154427_layer3_smoke,local_configs/pa_only_mtp2_meta.yaml,
primary_mtp2_meta,BREADTH_BASELINE,early_oow,2020-01-01,2022-12-31,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001,CCI_EXTREME_SNAPBACK_003",2,-1.5,metadata_priority,OK,0,local_runs/primary_mtp2_meta/early_oow/run_20260511_154459_layer3_smoke,local_configs/primary_mtp2_meta.yaml,
primary_mtp2_meta,BREADTH_BASELINE,insample_ref,2023-01-01,2024-12-31,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001,CCI_EXTREME_SNAPBACK_003",2,-1.5,metadata_priority,OK,0,local_runs/primary_mtp2_meta/insample_ref/run_20260511_154539_layer3_smoke,local_configs/primary_mtp2_meta.yaml,
primary_mtp2_meta,BREADTH_BASELINE,late_oow,2025-01-01,2026-04-30,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001,CCI_EXTREME_SNAPBACK_003",2,-1.5,metadata_priority,OK,0,local_runs/primary_mtp2_meta/late_oow/run_20260511_154607_layer3_smoke,local_configs/primary_mtp2_meta.yaml,
primary_mtp2_meta,BREADTH_BASELINE,full_available,2020-01-01,2026-04-30,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001,CCI_EXTREME_SNAPBACK_003",2,-1.5,metadata_priority,OK,0,local_runs/primary_mtp2_meta/full_available/run_20260511_154626_layer3_smoke,local_configs/primary_mtp2_meta.yaml,
pa_gap_mtp1_meta,ABLATION_MTP1,early_oow,2020-01-01,2022-12-31,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001",1,-1.5,metadata_priority,OK,0,local_runs/pa_gap_mtp1_meta/early_oow/run_20260511_154751_layer3_smoke,local_configs/pa_gap_mtp1_meta.yaml,
pa_gap_mtp1_meta,ABLATION_MTP1,insample_ref,2023-01-01,2024-12-31,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001",1,-1.5,metadata_priority,OK,0,local_runs/pa_gap_mtp1_meta/insample_ref/run_20260511_154818_layer3_smoke,local_configs/pa_gap_mtp1_meta.yaml,
pa_gap_mtp1_meta,ABLATION_MTP1,late_oow,2025-01-01,2026-04-30,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001",1,-1.5,metadata_priority,OK,0,local_runs/pa_gap_mtp1_meta/late_oow/run_20260511_154837_layer3_smoke,local_configs/pa_gap_mtp1_meta.yaml,
pa_gap_mtp1_meta,ABLATION_MTP1,full_available,2020-01-01,2026-04-30,"PA_BUY_SELL_CLOSE_TREND_003,GAP_ACCEPTANCE_FAILURE_001",1,-1.5,metadata_priority,OK,0,local_runs/pa_gap_mtp1_meta/full_available/run_20260511_154850_layer3_smoke,local_configs/pa_gap_mtp1_meta.yaml,
