score_variant,threshold_scheme,profile_id,weak_period_delta_r
original_v2_score,fixed_AB,pa_gap_mtp2_meta,16.886099475724933
original_v2_score,fixed_AB,pa_only_mtp1_meta,27.83608107041936
original_v2_score,fixed_AB,primary_mtp2_meta,22.30836718646197
original_v2_score,relaxed_AB,pa_gap_mtp2_meta,26.674826854800347
original_v2_score,relaxed_AB,pa_only_mtp1_meta,29.30297246595869
original_v2_score,relaxed_AB,primary_mtp2_meta,24.89547092614895
original_v2_score,percentile_profile_top80,pa_gap_mtp2_meta,16.897143163269327
original_v2_score,percentile_profile_top80,pa_only_mtp1_meta,16.657586367526232
original_v2_score,percentile_profile_top80,primary_mtp2_meta,25.510185797067457
original_v2_score,percentile_profile_top70,pa_gap_mtp2_meta,30.48167868184074
original_v2_score,percentile_profile_top70,pa_only_mtp1_meta,21.3251538159028
original_v2_score,percentile_profile_top70,primary_mtp2_meta,38.24229302276979
original_v2_score,percentile_profile_top50,pa_gap_mtp2_meta,24.71698590941546
original_v2_score,percentile_profile_top50,pa_only_mtp1_meta,31.870588238536314
original_v2_score,percentile_profile_top50,primary_mtp2_meta,31.513425868665458
original_v2_score,percentile_profile_window_top80,pa_gap_mtp2_meta,19.30404259535253
original_v2_score,percentile_profile_window_top80,pa_only_mtp1_meta,15.253385039348592
original_v2_score,percentile_profile_window_top80,primary_mtp2_meta,27.417288048904695
original_v2_score,percentile_profile_window_top70,pa_gap_mtp2_meta,30.48224481668377
original_v2_score,percentile_profile_window_top70,pa_only_mtp1_meta,19.261793498975557
original_v2_score,percentile_profile_window_top70,primary_mtp2_meta,38.15994042005002
original_v2_score,bottom_cut_10,pa_gap_mtp2_meta,11.38374697641818
original_v2_score,bottom_cut_10,pa_only_mtp1_meta,6.351374640240394
original_v2_score,bottom_cut_10,primary_mtp2_meta,5.443789372319216
original_v2_score,bottom_cut_20,pa_gap_mtp2_meta,16.897143163269327
original_v2_score,bottom_cut_20,pa_only_mtp1_meta,16.657586367526232
original_v2_score,bottom_cut_20,primary_mtp2_meta,25.510185797067457
original_v2_score,bottom_cut_30,pa_gap_mtp2_meta,30.48167868184074
original_v2_score,bottom_cut_30,pa_only_mtp1_meta,21.3251538159028
original_v2_score,bottom_cut_30,primary_mtp2_meta,42.26403215320456
no_signal_strength_fallback,fixed_AB,pa_gap_mtp2_meta,17.2266888226028
no_signal_strength_fallback,fixed_AB,pa_only_mtp1_meta,28.324270046797345
no_signal_strength_fallback,fixed_AB,primary_mtp2_meta,22.648956533339838
no_signal_strength_fallback,relaxed_AB,pa_gap_mtp2_meta,24.32596592020285
no_signal_strength_fallback,relaxed_AB,pa_only_mtp1_meta,32.9808147947694
no_signal_strength_fallback,relaxed_AB,primary_mtp2_meta,28.85826069939028
no_signal_strength_fallback,percentile_profile_top80,pa_gap_mtp2_meta,18.905953735956547
no_signal_strength_fallback,percentile_profile_top80,pa_only_mtp1_meta,16.657586367526232
no_signal_strength_fallback,percentile_profile_top80,primary_mtp2_meta,24.03827568470788
no_signal_strength_fallback,percentile_profile_top70,pa_gap_mtp2_meta,30.48167868184074
